Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,39,23.0,21,12.9,503.15,NL1,2019
2,PSV Eindhoven,41,22.9,21,5.8,237.85,NL1,2019
3,Feyenoord Rotterdam,35,23.9,15,3.04,106.55,NL1,2019
4,AZ Alkmaar,39,23.2,13,1.73,67.5,NL1,2019
5,Vitesse Arnhem,36,24.3,15,1.37,49.18,NL1,2019
6,SC Heerenveen,32,23.3,16,1.52,48.63,NL1,2019
7,FC Utrecht,35,24.5,16,1.3,45.33,NL1,2019
8,FC Groningen,33,23.1,14,1.24,41.0,NL1,2019
9,Willem II Tilburg,33,23.1,26,1.09,36.0,NL1,2019
10,Heracles Almelo,31,24.5,11,0.877,27.2,NL1,2019
11,PEC Zwolle,38,24.2,14,0.647,24.6,NL1,2019
12,Fortuna Sittard,44,22.5,27,0.484,21.3,NL1,2019
13,ADO Den Haag,33,24.9,10,0.639,21.1,NL1,2019
14,NAC Breda,40,23.8,21,0.431,17.25,NL1,2019
15,VVV-Venlo,28,24.5,9,0.585,16.38,NL1,2019
16,Excelsior Rotterdam,29,24.5,16,0.483,14.0,NL1,2019
17,FC Emmen,38,25.2,8,0.359,13.63,NL1,2019
18,De Graafschap Doetinchem,38,24.8,8,0.316,12.03,NL1,2019
