Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Manchester City,39,24.3,23,25.74,1000.0,GB1,2022
2,Liverpool FC,49,24.0,28,18.75,918.9,GB1,2022
3,Chelsea FC,44,25.1,25,20.78,914.5,GB1,2022
4,Manchester United,43,25.5,28,17.89,769.15,GB1,2022
5,Tottenham Hotspur,45,23.5,26,15.32,689.35,GB1,2022
6,Arsenal FC,41,23.4,24,14.95,613.05,GB1,2022
7,Leicester City,40,25.1,24,13.16,526.55,GB1,2022
8,Aston Villa,44,24.2,21,11.09,487.75,GB1,2022
9,Everton FC,42,25.5,22,11.41,479.05,GB1,2022
10,Wolverhampton Wanderers,38,24.4,30,9.92,376.95,GB1,2022
11,West Ham United,36,26.0,20,9.86,354.9,GB1,2022
12,Brighton & Hove Albion,43,24.1,31,7.4,318.0,GB1,2022
13,Newcastle United,34,27.4,18,9.23,313.9,GB1,2022
14,Leeds United,35,23.5,19,8.56,299.45,GB1,2022
15,Southampton FC,33,25.1,18,8.31,274.3,GB1,2022
16,Brentford FC,38,24.3,26,7.19,273.3,GB1,2022
17,Crystal Palace,33,25.9,16,8.21,271.05,GB1,2022
18,Norwich City,45,24.2,29,3.63,163.2,GB1,2022
19,Watford FC,47,25.8,36,3.32,156.2,GB1,2022
20,Burnley FC,35,27.3,16,3.94,138.05,GB1,2022
