Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Stade Reims,34,24.8,16,0.753,25.6,FR2,2017
2,RC Lens,41,23.9,20,0.587,24.05,FR2,2017
3,ESTAC Troyes,35,25.3,17,0.571,20.0,FR2,2017
4,Stade Brestois 29,26,24.9,7,0.731,19.0,FR2,2017
5,Nîmes Olympique,32,23.9,11,0.555,17.75,FR2,2017
6,AC Le Havre,32,24.4,13,0.513,16.4,FR2,2017
7,FC Sochaux-Montbéliard,34,24.0,15,0.481,16.35,FR2,2017
8,AJ Auxerre,36,23.2,15,0.45,16.2,FR2,2017
9,Amiens SC,29,26.3,13,0.516,14.95,FR2,2017
10,RC Strasbourg Alsace,30,26.8,13,0.49,14.7,FR2,2017
11,Tours FC,34,23.9,17,0.418,14.23,FR2,2017
12,Red Star FC,33,26.3,18,0.418,13.8,FR2,2017
13,GFC Ajaccio,26,27.7,13,0.512,13.3,FR2,2017
14,Clermont Foot 63,29,25.1,11,0.428,12.4,FR2,2017
15,Stade Lavallois,36,25.5,17,0.322,11.58,FR2,2017
16,Valenciennes FC,28,24.5,17,0.395,11.05,FR2,2017
17,Chamois Niortais FC,29,24.7,9,0.377,10.93,FR2,2017
18,Football Bourg-en-Bresse Péronnas 01,26,27.3,4,0.417,10.85,FR2,2017
19,AC Ajaccio,29,24.8,10,0.369,10.7,FR2,2017
20,US Orléans,27,28.4,12,0.319,8.6,FR2,2017
