Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,EA Guingamp,39,25.2,18,0.944,36.8,FR2,2020
2,FC Lorient,32,26.0,7,1.1,35.2,FR2,2020
3,ESTAC Troyes,32,24.8,18,0.999,31.98,FR2,2020
4,RC Lens,38,25.3,18,0.811,30.83,FR2,2020
5,SM Caen,39,24.5,18,0.708,27.63,FR2,2020
6,AJ Auxerre,31,25.6,12,0.755,23.4,FR2,2020
7,AC Le Havre,29,24.3,15,0.716,20.75,FR2,2020
8,Paris FC,39,25.5,20,0.528,20.6,FR2,2020
9,LB Châteauroux,37,23.7,16,0.45,16.65,FR2,2020
10,FC Sochaux-Montbéliard,35,23.7,13,0.443,15.5,FR2,2020
11,Valenciennes FC,30,24.4,15,0.472,14.15,FR2,2020
12,AC Ajaccio,34,24.7,17,0.401,13.63,FR2,2020
13,Le Mans FC,32,26.3,12,0.402,12.85,FR2,2020
14,AS Nancy-Lorraine,34,25.0,19,0.376,12.78,FR2,2020
15,US Orléans,35,25.5,10,0.357,12.5,FR2,2020
16,Clermont Foot 63,29,24.7,15,0.422,12.23,FR2,2020
17,Chamois Niortais FC,31,23.2,15,0.382,11.85,FR2,2020
18,Grenoble Foot 38,28,26.4,15,0.383,10.73,FR2,2020
19,FC Chambly Oise,35,28.2,5,0.261,9.15,FR2,2020
20,Rodez AF,30,25.5,6,0.286,8.58,FR2,2020
