Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Hamburger SV,39,23.2,20,2.23,86.85,L2,2019
2,1. FC Köln,34,25.0,13,2.46,83.5,L2,2019
3,1.FC Union Berlin,33,25.7,14,0.923,30.48,L2,2019
4,SC Paderborn 07,35,24.5,13,0.736,25.75,L2,2019
5,Holstein Kiel,31,24.0,8,0.804,24.93,L2,2019
6,FC St. Pauli,37,25.4,11,0.585,21.65,L2,2019
7,SG Dynamo Dresden,31,24.5,11,0.681,21.1,L2,2019
8,1.FC Heidenheim 1846,30,24.8,1,0.677,20.3,L2,2019
9,VfL Bochum,38,24.5,13,0.526,19.98,L2,2019
10,FC Ingolstadt 04,35,26.2,16,0.57,19.95,L2,2019
11,Arminia Bielefeld,32,25.0,7,0.6,19.2,L2,2019
12,SV Darmstadt 98,37,26.5,11,0.489,18.1,L2,2019
13,SSV Jahn Regensburg,29,26.7,7,0.543,15.75,L2,2019
14,SV Sandhausen,33,26.8,9,0.47,15.5,L2,2019
15,SpVgg Greuther Fürth,29,24.3,9,0.511,14.83,L2,2019
16,FC Erzgebirge Aue,35,25.0,7,0.422,14.78,L2,2019
17,1.FC Magdeburg,32,25.8,8,0.395,12.65,L2,2019
18,MSV Duisburg,31,25.5,12,0.386,11.98,L2,2019
