Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,AS Monaco,46,24.4,25,0.975,44.85,FR2,2012
2,RC Lens,31,24.6,17,0.69,21.4,FR2,2012
3,FC Nantes,36,25.0,16,0.544,19.6,FR2,2012
4,CS Sedan-Ardennes,26,24.7,14,0.66,17.15,FR2,2012
5,SC Bastia,28,25.3,7,0.575,16.1,FR2,2012
6,AC Le Havre,27,23.5,12,0.572,15.45,FR2,2012
7,ESTAC Troyes,28,24.6,10,0.545,15.25,FR2,2012
8,EA Guingamp,29,24.9,11,0.521,15.1,FR2,2012
9,Stade Reims,31,25.1,15,0.487,15.1,FR2,2012
10,Le Mans FC,34,23.3,23,0.434,14.75,FR2,2012
11,FC Metz,39,23.3,22,0.354,13.8,FR2,2012
12,Athlétic Club Arlésien,37,25.6,14,0.354,13.1,FR2,2012
13,Tours FC,31,23.8,13,0.418,12.95,FR2,2012
14,US Boulogne,32,24.3,11,0.37,11.85,FR2,2012
15,Clermont Foot Auvergne 63,30,24.6,14,0.382,11.45,FR2,2012
16,FC Istres Ouest Provence,31,25.1,13,0.348,10.8,FR2,2012
17,Angers SCO,33,26.3,11,0.32,10.55,FR2,2012
18,LB Châteauroux,30,24.6,8,0.345,10.35,FR2,2012
19,Stade Lavallois,25,25.9,2,0.316,7.9,FR2,2012
20,Amiens SC,34,25.5,17,0.221,7.5,FR2,2012
