VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Manchester City,24,26.8,17,52.7,1260.0,GB1,2024
2,Arsenal FC,25,25.3,18,43.82,1100.0,GB1,2024
3,Chelsea FC,30,23.3,20,33.3,999.0,GB1,2024
4,Liverpool FC,27,25.5,22,32.49,877.3,GB1,2024
5,Manchester United,31,25.8,22,28.3,877.3,GB1,2024
6,Tottenham Hotspur,29,25.7,21,25.78,747.6,GB1,2024
7,Newcastle United,29,27.2,14,22.43,650.5,GB1,2024
8,Aston Villa,26,26.7,19,24.26,630.7,GB1,2024
9,West Ham United,25,27.8,18,18.83,470.85,GB1,2024
10,Brighton & Hove Albion,27,25.4,19,17.38,469.3,GB1,2024
11,Nottingham Forest,32,26.5,27,12.36,395.58,GB1,2024
12,Brentford FC,29,25.6,20,13.07,379.1,GB1,2024
13,Crystal Palace,27,25.9,12,13.68,369.45,GB1,2024
14,Everton FC,25,26.8,11,14.03,350.7,GB1,2024
15,AFC Bournemouth,29,25.9,20,11.84,343.5,GB1,2024
16,Wolverhampton Wanderers,26,25.6,22,12.33,320.48,GB1,2024
17,Fulham FC,26,27.3,24,11.69,304.0,GB1,2024
18,Burnley FC,33,24.6,25,7.78,256.75,GB1,2024
19,Sheffield United,30,25.5,18,5.17,154.95,GB1,2024
20,Luton Town,26,27.4,12,3.35,87.2,GB1,2024
