Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,AC Milan,43,27.0,16,6.38,274.35,IT1,2007
2,FC Internazionale,58,23.8,31,4.61,267.23,IT1,2007
3,AS Roma,40,24.7,17,5.17,206.65,IT1,2007
4,ACF Fiorentina,38,24.1,15,4.2,159.6,IT1,2007
5,US Palermo,52,23.8,8,2.45,127.28,IT1,2007
6,SS Lazio,34,26.7,10,3.1,105.35,IT1,2007
7,Udinese Calcio,52,21.9,25,2.01,104.58,IT1,2007
8,Chievo Verona,53,24.9,9,1.58,83.5,IT1,2007
9,UC Sampdoria,42,24.3,9,1.65,69.45,IT1,2007
10,AS Livorno,34,27.9,11,2.01,68.33,IT1,2007
11,Torino FC,37,28.9,7,1.5,55.55,IT1,2007
12,Atalanta BC,40,25.5,8,1.34,53.48,IT1,2007
13,Reggina Calcio,43,24.1,7,1.17,50.1,IT1,2007
14,Parma FC,38,24.2,8,1.23,46.9,IT1,2007
15,AC Siena,39,26.1,12,1.18,46.08,IT1,2007
16,Cagliari Calcio,35,24.9,5,1.29,45.1,IT1,2007
17,Empoli FC,35,24.3,2,1.27,44.3,IT1,2007
18,FC Messina Peloro,46,26.5,12,0.882,40.58,IT1,2007
19,Calcio Catania,36,27.3,6,1.07,38.6,IT1,2007
20,Ascoli Calcio 1898,47,25.9,9,0.549,25.8,IT1,2007
