Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam U21,52,20.6,17,1.53,79.55,NL2,2017
2,PSV Eindhoven U21,47,20.7,21,0.712,33.48,NL2,2017
3,FC Utrecht U21,45,21.2,11,0.338,15.2,NL2,2017
4,NAC Breda,36,22.1,18,0.248,8.93,NL2,2017
5,SC Cambuur Leeuwarden,35,24.2,10,0.226,7.9,NL2,2017
6,VVV-Venlo,31,22.5,4,0.22,6.83,NL2,2017
7,Fortuna Sittard,33,23.3,16,0.155,5.13,NL2,2017
8,De Graafschap Doetinchem,33,23.4,6,0.149,4.93,NL2,2017
9,MVV Maastricht,28,22.4,16,0.168,4.7,NL2,2017
10,FC Volendam,32,23.5,1,0.143,4.58,NL2,2017
11,Almere City FC,34,23.8,6,0.121,4.1,NL2,2017
12,FC Emmen,34,24.1,6,0.12,4.08,NL2,2017
13,FC Eindhoven,27,24.7,15,0.149,4.03,NL2,2017
14,RKC Waalwijk,36,23.7,7,0.102,3.68,NL2,2017
15,FC Oss,26,24.4,2,0.129,3.35,NL2,2017
16,Helmond Sport,32,23.4,8,0.098,3.15,NL2,2017
17,SC Telstar,27,24.4,9,0.113,3.05,NL2,2017
18,FC Den Bosch,34,22.1,10,0.084,2.85,NL2,2017
19,FC Dordrecht,36,22.0,16,0.075,2.7,NL2,2017
20,Achilles '29,37,23.9,9,0.068,2.5,NL2,2017
