Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Barcelona B,29,20.9,5,1.36,39.4,ES2,2012
2,Deportivo de La Coruña,28,27.8,9,1.35,37.9,ES2,2012
3,Real Valladolid CF,33,26.1,5,0.745,24.6,ES2,2012
4,UD Almería,31,25.7,8,0.781,24.2,ES2,2012
5,Hércules CF,31,25.5,3,0.729,22.6,ES2,2012
6,Celta de Vigo,26,25.5,4,0.754,19.6,ES2,2012
7,Elche CF,32,26.4,3,0.609,19.5,ES2,2012
8,Villarreal CF B,43,21.7,9,0.426,18.3,ES2,2012
9,FC Cartagena,28,27.8,4,0.596,16.7,ES2,2012
10,Girona FC,33,26.4,6,0.47,15.5,ES2,2012
11,Xerez CD,33,27.5,1,0.468,15.45,ES2,2012
12,UD Las Palmas,31,25.2,6,0.484,15.0,ES2,2012
13,Córdoba CF,33,25.0,6,0.442,14.6,ES2,2012
14,CD Numancia,29,26.1,5,0.448,13.0,ES2,2012
15,Real Murcia CF,30,26.1,4,0.433,13.0,ES2,2012
16,AD Alcorcón,25,28.6,2,0.496,12.4,ES2,2012
17,Recreativo Huelva,33,25.6,3,0.355,11.7,ES2,2012
18,SD Huesca,33,29.0,1,0.327,10.8,ES2,2012
19,CE Sabadell FC,33,26.7,5,0.324,10.7,ES2,2012
20,Gimnàstic de Tarragona,40,24.8,4,0.265,10.6,ES2,2012
21,CD Guadalajara,24,27.1,3,0.313,7.5,ES2,2012
22,CD Alcoyano,31,26.6,3,0.239,7.4,ES2,2012
