Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Real Madrid,39,24.9,15,9.54,372.2,ES1,2007
2,FC Barcelona,32,26.0,18,11.45,366.5,ES1,2007
3,Valencia CF,33,26.0,9,7.05,232.7,ES1,2007
4,Atlético de Madrid,34,24.5,13,5.12,174.0,ES1,2007
5,Sevilla FC,30,26.1,14,4.66,139.8,ES1,2007
6,Real Zaragoza,26,26.5,8,4.66,121.25,ES1,2007
7,Villarreal CF,30,26.8,16,3.64,109.05,ES1,2007
8,Deportivo de La Coruña,32,25.0,10,3.09,98.85,ES1,2007
9,Real Betis Balompié,34,26.6,12,2.32,78.93,ES1,2007
10,CA Osasuna,33,24.8,7,2.16,71.35,ES1,2007
11,RCD Espanyol Barcelona,34,24.8,9,1.83,62.15,ES1,2007
12,RCD Mallorca,24,26.5,11,2.3,55.3,ES1,2007
13,Athletic Bilbao,30,25.8,1,1.83,54.9,ES1,2007
14,Celta de Vigo,32,26.1,16,1.71,54.88,ES1,2007
15,Levante UD,30,29.4,17,1.79,53.75,ES1,2007
16,Racing Santander,34,25.4,7,1.45,49.3,ES1,2007
17,Real Sociedad,32,26.1,10,1.41,45.2,ES1,2007
18,Recreativo Huelva,28,26.6,6,1.5,41.9,ES1,2007
19,Getafe CF,25,27.5,7,1.6,40.05,ES1,2007
20,Gimnàstic de Tarragona,34,28.8,10,0.831,28.25,ES1,2007
