Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Wolverhampton Wanderers,39,24.9,18,1.28,49.8,GB2,2009
2,Birmingham City,39,25.9,23,1.19,46.3,GB2,2009
3,Reading FC,40,24.7,27,1.13,45.35,GB2,2009
4,Sheffield United,43,26.0,22,0.935,40.2,GB2,2009
5,Derby County,42,25.5,21,0.926,38.9,GB2,2009
6,Cardiff City,32,25.6,23,1.21,38.65,GB2,2009
7,Ipswich Town,36,24.9,22,1.0,36.0,GB2,2009
8,Blackpool FC,47,25.4,19,0.71,33.35,GB2,2009
9,Queens Park Rangers,40,24.6,23,0.804,32.15,GB2,2009
10,Charlton Athletic,43,25.0,21,0.721,31.0,GB2,2009
11,Crystal Palace,38,24.7,20,0.813,30.9,GB2,2009
12,Norwich City,40,24.6,20,0.7,28.0,GB2,2009
13,Preston North End,31,25.8,11,0.857,26.58,GB2,2009
14,Burnley FC,25,27.0,18,1.03,25.8,GB2,2009
15,Watford FC,45,24.1,22,0.565,25.43,GB2,2009
16,Nottingham Forest,42,23.2,15,0.605,25.43,GB2,2009
17,Sheffield Wednesday,33,24.6,10,0.767,25.3,GB2,2009
18,Southampton FC,43,23.6,21,0.551,23.68,GB2,2009
19,Barnsley FC,35,25.8,20,0.673,23.55,GB2,2009
20,Plymouth Argyle,34,24.8,22,0.686,23.33,GB2,2009
21,Bristol City,31,26.3,16,0.682,21.15,GB2,2009
22,Coventry City,35,23.9,17,0.589,20.6,GB2,2009
23,Swansea City,32,25.3,26,0.597,19.1,GB2,2009
24,Doncaster Rovers,35,25.7,15,0.494,17.28,GB2,2009
