Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Parma FC,41,24.5,5,1.01,41.25,IT2,2009
2,Empoli FC,33,24.8,2,0.964,31.8,IT2,2009
3,AS Bari,45,24.7,11,0.668,30.05,IT2,2009
4,Brescia Calcio,41,23.7,17,0.69,28.3,IT2,2009
5,AS Livorno,31,24.9,7,0.798,24.75,IT2,2009
6,Ascoli Calcio 1898,45,24.4,7,0.396,17.8,IT2,2009
7,US Triestina,45,24.3,10,0.387,17.4,IT2,2009
8,US Grosseto FC,40,25.7,5,0.434,17.35,IT2,2009
9,UC AlbinoLeffe,38,24.3,5,0.42,15.95,IT2,2009
10,Vicenza Calcio,45,25.0,11,0.334,15.05,IT2,2009
11,Modena FC,40,25.6,6,0.328,13.1,IT2,2009
12,US Sassuolo,39,24.5,3,0.331,12.9,IT2,2009
13,Frosinone Calcio,42,26.6,8,0.301,12.65,IT2,2009
14,AC Pisa 1909,48,24.5,12,0.253,12.15,IT2,2009
15,Salernitana Calcio 1919,47,25.9,8,0.248,11.68,IT2,2009
16,Piacenza FC,42,23.5,8,0.277,11.65,IT2,2009
17,Rimini FC,36,25.0,4,0.315,11.35,IT2,2009
18,AC Mantova 1911,34,26.7,4,0.326,11.1,IT2,2009
19,Treviso FBC 1993,47,25.3,10,0.198,9.3,IT2,2009
20,AS Cittadella,36,25.3,3,0.247,8.9,IT2,2009
21,US Avellino,42,23.7,9,0.212,8.9,IT2,2009
22,AC Ancona,32,26.1,6,0.234,7.5,IT2,2009
