Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam U21,44,19.5,16,2.17,95.6,NL2,2020
2,PSV Eindhoven U21,38,20.4,17,1.15,43.85,NL2,2020
3,AZ Alkmaar U21,41,20.2,11,0.566,23.23,NL2,2020
4,NEC Nijmegen,30,23.1,7,0.441,13.23,NL2,2020
5,NAC Breda,30,22.1,14,0.392,11.75,NL2,2020
6,FC Volendam,33,21.8,10,0.321,10.6,NL2,2020
7,Almere City FC,39,23.9,10,0.244,9.53,NL2,2020
8,De Graafschap Doetinchem,30,24.7,5,0.305,9.15,NL2,2020
9,FC Utrecht U21,42,20.3,11,0.208,8.73,NL2,2020
10,Excelsior Rotterdam,29,23.6,9,0.292,8.48,NL2,2020
11,SC Cambuur Leeuwarden,30,24.6,8,0.254,7.63,NL2,2020
12,Go Ahead Eagles,32,24.1,9,0.234,7.48,NL2,2020
13,Roda JC Kerkrade,33,22.8,20,0.212,7.0,NL2,2020
14,FC Dordrecht,37,22.0,11,0.173,6.4,NL2,2020
15,FC Den Bosch,32,22.7,10,0.198,6.35,NL2,2020
16,FC Eindhoven,38,21.9,11,0.157,5.95,NL2,2020
17,SC Telstar,29,23.1,11,0.204,5.93,NL2,2020
18,MVV Maastricht,34,22.9,18,0.174,5.9,NL2,2020
19,TOP Oss,33,25.8,8,0.164,5.4,NL2,2020
20,Helmond Sport,24,23.8,3,0.189,4.53,NL2,2020
