Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,27,26.3,16,36.29,979.7,L1,2023
2,Borussia Dortmund,33,24.5,16,16.6,547.7,L1,2023
3,RB Leipzig,27,25.3,17,18.05,487.3,L1,2023
4,Bayer 04 Leverkusen,28,25.0,20,15.19,425.35,L1,2023
5,Eintracht Frankfurt,30,25.1,18,9.82,294.45,L1,2023
6,Borussia Mönchengladbach,27,25.8,15,8.26,223.0,L1,2023
7,VfL Wolfsburg,25,24.4,15,8.03,200.7,L1,2023
8,SC Freiburg,26,26.1,10,6.22,161.83,L1,2023
9,TSG 1899 Hoffenheim,31,25.6,17,4.99,154.65,L1,2023
10,1.FC Union Berlin,27,27.4,13,4.67,126.1,L1,2023
11,FC Augsburg,32,25.2,19,3.66,117.15,L1,2023
12,VfB Stuttgart,29,23.7,16,4.0,115.95,L1,2023
13,1.FSV Mainz 05,27,25.0,13,4.21,113.7,L1,2023
14,1. FC Köln,35,24.3,11,2.91,101.93,L1,2023
15,Hertha BSC,28,26.4,16,3.29,92.1,L1,2023
16,SV Werder Bremen,26,25.1,9,3.1,80.55,L1,2023
17,FC Schalke 04,32,27.2,18,1.89,60.4,L1,2023
18,VfL Bochum,28,28.0,17,1.71,47.75,L1,2023
