Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,32,25.7,15,24.53,784.88,L1,2019
2,Borussia Dortmund,34,24.4,19,18.92,643.25,L1,2019
3,RB Leipzig,34,22.6,22,14.09,479.0,L1,2019
4,Bayer 04 Leverkusen,31,24.6,16,13.85,429.4,L1,2019
5,TSG 1899 Hoffenheim,38,24.4,22,8.85,336.25,L1,2019
6,Eintracht Frankfurt,47,24.8,28,6.67,313.4,L1,2019
7,Borussia Mönchengladbach,30,25.2,17,8.81,264.3,L1,2019
8,VfL Wolfsburg,36,25.1,21,6.37,229.25,L1,2019
9,FC Schalke 04,39,25.1,24,5.67,221.3,L1,2019
10,Hertha BSC,36,24.4,19,5.77,207.63,L1,2019
11,SV Werder Bremen,33,25.8,18,5.09,168.05,L1,2019
12,1.FSV Mainz 05,35,24.7,20,4.56,159.73,L1,2019
13,VfB Stuttgart,34,24.9,16,4.23,143.75,L1,2019
14,FC Augsburg,40,24.9,19,3.48,139.25,L1,2019
15,SC Freiburg,34,25.0,8,3.59,122.1,L1,2019
16,Fortuna Düsseldorf,34,26.3,17,2.79,94.95,L1,2019
17,Hannover 96,37,25.7,18,2.47,91.43,L1,2019
18,1.FC Nuremberg,29,25.2,11,1.88,54.4,L1,2019
