Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Paris Saint-Germain,35,25.0,19,25.72,900.1,FR1,2018
2,AS Monaco,38,23.5,26,13.94,529.8,FR1,2018
3,Olympique Lyon,34,23.1,19,10.7,363.8,FR1,2018
4,Olympique Marseille,29,26.8,13,8.17,236.8,FR1,2018
5,OGC Nice,39,23.6,16,5.23,204.1,FR1,2018
6,FC Girondins Bordeaux,37,24.1,21,4.2,155.45,FR1,2018
7,Stade Rennais FC,35,24.3,18,3.75,131.25,FR1,2018
8,FC Toulouse,28,24.5,14,3.94,110.45,FR1,2018
9,AS Saint-Étienne,40,24.8,23,2.67,106.88,FR1,2018
10,FC Nantes,36,24.6,21,2.94,105.7,FR1,2018
11,LOSC Lille,32,22.0,18,3.02,96.75,FR1,2018
12,Montpellier HSC,30,25.4,15,2.4,71.85,FR1,2018
13,Dijon FCO,35,25.6,16,2.01,70.3,FR1,2018
14,Amiens SC,34,27.3,19,2.05,69.85,FR1,2018
15,Angers SCO,33,26.1,18,2.11,69.55,FR1,2018
16,SM Caen,33,25.8,17,1.82,60.1,FR1,2018
17,EA Guingamp,30,26.7,13,1.73,51.9,FR1,2018
18,FC Metz,44,24.7,26,1.16,51.2,FR1,2018
19,RC Strasbourg Alsace,31,26.3,15,1.47,45.6,FR1,2018
20,ESTAC Troyes,30,26.0,16,1.5,45.05,FR1,2018
