Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Real Madrid,34,25.5,10,8.93,303.7,ES1,2005
2,FC Barcelona,35,24.4,15,7.8,273.03,ES1,2005
3,Valencia CF,32,26.1,15,6.12,195.9,ES1,2005
4,Deportivo de La Coruña,29,27.7,8,4.98,144.45,ES1,2005
5,Atlético de Madrid,36,25.8,11,3.49,125.65,ES1,2005
6,Real Betis Balompié,32,26.0,8,2.66,85.15,ES1,2005
7,Sevilla FC,31,25.5,6,2.28,70.55,ES1,2005
8,Villarreal CF,36,24.6,10,1.84,66.25,ES1,2005
9,Real Sociedad,32,25.1,7,1.67,53.55,ES1,2005
10,Athletic Bilbao,32,25.3,0,1.66,53.05,ES1,2005
11,Real Zaragoza,28,25.8,7,1.83,51.13,ES1,2005
12,RCD Espanyol Barcelona,29,25.7,8,1.56,45.15,ES1,2005
13,RCD Mallorca,32,26.3,11,1.33,42.65,ES1,2005
14,Racing Santander,34,24.5,13,0.968,32.9,ES1,2005
15,Málaga CF,31,25.6,9,1.06,32.85,ES1,2005
16,CA Osasuna,26,25.8,8,1.03,26.65,ES1,2005
17,Levante UD,27,29.0,8,0.898,24.25,ES1,2005
18,Albacete Balompié,38,25.4,8,0.467,17.75,ES1,2005
19,Getafe CF,29,27.2,3,0.478,13.85,ES1,2005
20,CD Numancia,30,27.0,7,0.447,13.4,ES1,2005
