Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Real Madrid,36,25.6,20,11.91,428.6,ES1,2009
2,FC Barcelona,34,24.8,14,12.51,425.4,ES1,2009
3,Valencia CF,35,26.1,10,6.5,227.5,ES1,2009
4,Atlético de Madrid,29,25.7,15,7.63,221.4,ES1,2009
5,Sevilla FC,35,25.3,20,5.79,202.7,ES1,2009
6,Villarreal CF,31,26.4,14,5.48,170.0,ES1,2009
7,Real Betis Balompié,33,26.6,13,3.6,118.7,ES1,2009
8,RCD Espanyol Barcelona,31,25.8,10,3.07,95.3,ES1,2009
9,Racing Santander,35,25.4,10,2.44,85.5,ES1,2009
10,UD Almería,25,25.9,10,3.2,80.0,ES1,2009
11,Athletic Bilbao,32,25.8,1,2.43,77.6,ES1,2009
12,Deportivo de La Coruña,34,26.0,10,2.27,77.3,ES1,2009
13,Getafe CF,28,26.7,13,2.66,74.5,ES1,2009
14,RCD Mallorca,27,25.9,10,2.55,68.9,ES1,2009
15,CA Osasuna,31,26.4,10,2.16,67.1,ES1,2009
16,Málaga CF,27,27.6,8,2.0,54.0,ES1,2009
17,Recreativo Huelva,31,26.0,9,1.61,49.9,ES1,2009
18,Real Valladolid CF,27,27.6,8,1.81,48.8,ES1,2009
19,CD Numancia,32,26.8,2,1.19,38.1,ES1,2009
20,Sporting Gijón,31,26.1,2,1.17,36.3,ES1,2009
