Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,31,25.2,17,4.02,124.5,PO1,2007
2,SL Benfica,32,26.8,16,3.55,113.45,PO1,2007
3,Sporting CP,28,24.9,11,3.59,100.5,PO1,2007
4,SC Braga,32,27.1,19,1.06,34.0,PO1,2007
5,Boavista FC,28,27.0,14,0.818,22.9,PO1,2007
6,CF Os Belenenses,30,27.2,12,0.512,15.35,PO1,2007
7,União de Leiria,29,25.5,18,0.521,15.1,PO1,2007
8,CS Marítimo,29,25.7,21,0.479,13.9,PO1,2007
9,Académica Coimbra,31,26.1,19,0.439,13.6,PO1,2007
10,Clube Futebol Estrela da Amadora,31,26.1,10,0.408,12.65,PO1,2007
11,CD Nacional,30,26.3,21,0.407,12.2,PO1,2007
12,Vitória Setúbal FC,34,26.1,19,0.338,11.5,PO1,2007
13,Desportivo Aves (- 2020),29,28.0,14,0.383,11.1,PO1,2007
14,SC Beira-Mar,41,25.4,26,0.251,10.3,PO1,2007
15,FC Paços de Ferreira,30,26.3,14,0.293,8.8,PO1,2007
16,Naval 1º de Maio,29,26.3,17,0.224,6.5,PO1,2007
