Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam U21,56,20.6,18,1.2,67.45,NL2,2015
2,PSV Eindhoven U21,44,21.0,21,0.751,33.05,NL2,2015
3,FC Twente Enschede U21,43,20.7,23,0.602,25.9,NL2,2015
4,Roda JC Kerkrade,34,24.7,10,0.231,7.85,NL2,2015
5,NEC Nijmegen,27,23.8,12,0.288,7.78,NL2,2015
6,VVV-Venlo,29,24.2,9,0.236,6.85,NL2,2015
7,Sparta Rotterdam,32,22.9,6,0.147,4.7,NL2,2015
8,RKC Waalwijk,36,23.1,7,0.122,4.38,NL2,2015
9,FC Emmen,31,23.9,3,0.137,4.25,NL2,2015
10,FC Eindhoven,29,23.6,14,0.134,3.9,NL2,2015
11,Almere City FC,32,23.5,3,0.12,3.85,NL2,2015
12,FC Volendam,37,24.2,3,0.103,3.8,NL2,2015
13,De Graafschap Doetinchem,30,22.4,6,0.118,3.53,NL2,2015
14,Fortuna Sittard,36,22.3,10,0.093,3.35,NL2,2015
15,MVV Maastricht,26,22.5,11,0.129,3.35,NL2,2015
16,Helmond Sport,30,23.0,6,0.111,3.33,NL2,2015
17,FC Den Bosch,30,22.4,10,0.105,3.15,NL2,2015
18,FC Oss,29,23.7,3,0.101,2.93,NL2,2015
19,Achilles '29,31,25.1,4,0.092,2.85,NL2,2015
20,SC Telstar,28,23.5,8,0.083,2.33,NL2,2015
