Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,1. FC Köln,30,26.1,9,1.01,30.3,L2,2005
2,TSV 1860 Munich,31,25.5,17,0.62,19.23,L2,2005
3,Eintracht Frankfurt,27,26.6,11,0.576,15.55,L2,2005
4,Alemannia Aachen,26,26.8,6,0.526,13.69,L2,2005
5,SpVgg Greuther Fürth,27,25.9,6,0.458,12.37,L2,2005
6,MSV Duisburg,29,27.8,10,0.426,12.35,L2,2005
7,Rot-Weiß Oberhausen,32,26.8,19,0.349,11.18,L2,2005
8,Karlsruher SC,31,25.1,10,0.34,10.55,L2,2005
9,FC Energie Cottbus,35,25.2,15,0.293,10.25,L2,2005
10,Rot-Weiss Essen,33,25.6,14,0.277,9.15,L2,2005
11,1.FC Saarbrücken,31,26.2,12,0.266,8.25,L2,2005
12,SV Wacker Burghausen,29,25.1,9,0.278,8.05,L2,2005
13,LR Ahlen,32,27.3,14,0.242,7.75,L2,2005
14,Rot-Weiß Erfurt,32,27.4,14,0.218,6.98,L2,2005
15,FC Erzgebirge Aue,26,27.7,7,0.265,6.9,L2,2005
16,SV Eintracht Trier 05,33,26.5,12,0.198,6.55,L2,2005
17,SpVgg Unterhaching,29,26.8,12,0.221,6.4,L2,2005
18,SG Dynamo Dresden,27,27.5,9,0.233,6.3,L2,2005
