Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Brescia Calcio,41,24.0,9,1.45,59.45,IT2,2019
2,Hellas Verona,56,24.7,20,0.724,40.53,IT2,2019
3,US Palermo,41,24.6,18,0.913,37.43,IT2,2019
4,AC Perugia Calcio,45,24.3,12,0.709,31.9,IT2,2019
5,Delfino Pescara 1936,62,23.4,15,0.514,31.85,IT2,2019
6,FC Crotone,53,23.4,23,0.544,28.85,IT2,2019
7,Benevento Calcio,45,25.0,10,0.636,28.6,IT2,2019
8,US Lecce,49,25.5,8,0.541,26.5,IT2,2019
9,Spezia Calcio,46,24.8,12,0.551,25.35,IT2,2019
10,Ascoli Calcio,67,24.0,13,0.325,21.8,IT2,2019
11,AS Cittadella,40,24.6,1,0.512,20.48,IT2,2019
12,Foggia Calcio,54,24.5,11,0.354,19.1,IT2,2019
13,Carpi FC 1909,59,23.9,18,0.309,18.25,IT2,2019
14,US Cremonese,46,25.6,10,0.367,16.9,IT2,2019
15,Venezia FC,48,24.8,11,0.345,16.58,IT2,2019
16,US Salernitana 1919,50,25.7,15,0.32,15.98,IT2,2019
17,Cosenza Calcio,45,25.0,9,0.338,15.2,IT2,2019
18,Calcio Padova,53,25.8,9,0.251,13.33,IT2,2019
19,AS Livorno,55,25.1,14,0.24,13.23,IT2,2019
