Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,31,25.1,17,4.23,131.2,PO1,2008
2,SL Benfica,38,24.2,22,2.73,103.83,PO1,2008
3,Sporting CP,28,24.5,17,2.76,77.35,PO1,2008
4,SC Braga,33,26.7,19,1.41,46.6,PO1,2008
5,CF Os Belenenses,28,25.9,16,1.06,29.6,PO1,2008
6,Boavista FC,33,24.6,22,0.776,25.6,PO1,2008
7,CD Nacional,32,25.3,21,0.739,23.65,PO1,2008
8,CS Marítimo,33,25.5,23,0.689,22.75,PO1,2008
9,União de Leiria,31,26.9,20,0.631,19.55,PO1,2008
10,Académica Coimbra,32,25.1,17,0.588,18.8,PO1,2008
11,Vitória Setúbal FC,25,26.4,14,0.736,18.4,PO1,2008
12,FC Paços de Ferreira,30,26.9,14,0.563,16.9,PO1,2008
13,Vitória Guimarães SC,26,26.0,15,0.646,16.8,PO1,2008
14,Clube Futebol Estrela da Amadora,32,25.4,19,0.523,16.75,PO1,2008
15,Leixões SC,29,26.7,8,0.572,16.6,PO1,2008
16,Naval 1º de Maio,28,26.2,18,0.505,14.15,PO1,2008
