Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,39,22.3,17,6.44,251.0,NL1,2018
2,PSV Eindhoven,32,22.7,12,5.45,174.45,NL1,2018
3,Feyenoord Rotterdam,32,24.1,12,3.26,104.2,NL1,2018
4,AZ Alkmaar,34,23.2,10,2.08,70.68,NL1,2018
5,FC Utrecht,36,24.6,16,1.3,46.63,NL1,2018
6,Vitesse Arnhem,34,24.1,13,1.17,39.78,NL1,2018
7,SC Heerenveen,26,24.2,12,1.5,39.13,NL1,2018
8,FC Groningen,31,23.0,13,0.977,30.3,NL1,2018
9,PEC Zwolle,32,24.0,9,0.823,26.33,NL1,2018
10,ADO Den Haag,34,24.5,9,0.695,23.63,NL1,2018
11,Heracles Almelo,31,24.9,11,0.718,22.25,NL1,2018
12,Twente Enschede FC,36,23.6,23,0.615,22.15,NL1,2018
13,Willem II Tilburg,37,23.6,22,0.504,18.65,NL1,2018
14,NAC Breda,36,23.0,20,0.476,17.15,NL1,2018
15,Sparta Rotterdam,41,23.9,23,0.377,15.45,NL1,2018
16,Excelsior Rotterdam,29,25.0,11,0.51,14.8,NL1,2018
17,VVV-Venlo,35,23.5,10,0.388,13.58,NL1,2018
18,Roda JC Kerkrade,33,24.1,18,0.402,13.28,NL1,2018
