Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,30,24.6,18,7.36,220.9,PO1,2011
2,SL Benfica,29,25.4,20,5.8,168.1,PO1,2011
3,Sporting CP,32,26.5,14,3.96,126.7,PO1,2011
4,SC Braga,39,26.4,26,1.94,75.65,PO1,2011
5,Vitória Guimarães SC,38,25.6,20,0.961,36.5,PO1,2011
6,CS Marítimo,45,25.2,31,0.678,30.5,PO1,2011
7,CD Nacional,31,25.2,22,0.855,26.5,PO1,2011
8,FC Paços de Ferreira,29,25.5,13,0.841,24.4,PO1,2011
9,Académica Coimbra,28,25.4,13,0.796,22.3,PO1,2011
10,Rio Ave FC,29,26.9,7,0.703,20.4,PO1,2011
11,SC Olhanense,38,25.9,21,0.532,20.2,PO1,2011
12,Vitória Setúbal FC,31,26.6,21,0.598,18.55,PO1,2011
13,União de Leiria,34,26.1,23,0.49,16.65,PO1,2011
14,Naval 1º de Maio,31,26.1,18,0.5,15.5,PO1,2011
15,SC Beira-Mar,30,25.2,13,0.498,14.95,PO1,2011
16,Portimonense SC,33,25.8,20,0.433,14.3,PO1,2011
