Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Barcelona,32,26.3,17,34.19,1090.0,ES1,2018
2,Real Madrid,32,24.5,15,29.85,955.35,ES1,2018
3,Atlético de Madrid,36,25.4,20,19.75,711.15,ES1,2018
4,Valencia CF,30,24.3,14,13.27,398.05,ES1,2018
5,Sevilla FC,33,26.5,20,7.67,253.2,ES1,2018
6,Athletic Bilbao,33,25.9,1,7.56,249.4,ES1,2018
7,Real Sociedad,29,26.3,6,8.03,232.95,ES1,2018
8,Villarreal CF,40,25.4,15,5.5,220.0,ES1,2018
9,Celta de Vigo,32,24.5,16,5.41,173.05,ES1,2018
10,Real Betis Balompié,31,25.9,11,4.27,132.25,ES1,2018
11,RCD Espanyol Barcelona,29,27.3,7,3.37,97.8,ES1,2018
12,UD Las Palmas,38,26.9,15,2.4,91.25,ES1,2018
13,Girona FC,30,25.4,14,2.73,81.75,ES1,2018
14,Deportivo Alavés,33,25.1,12,2.27,74.8,ES1,2018
15,Deportivo de La Coruña,36,26.8,18,1.85,66.45,ES1,2018
16,Getafe CF,36,26.6,18,1.82,65.6,ES1,2018
17,Levante UD,37,25.2,15,1.67,61.85,ES1,2018
18,SD Eibar,33,26.8,9,1.82,60.05,ES1,2018
19,CD Leganés,34,26.8,15,1.72,58.55,ES1,2018
20,Málaga CF,40,25.8,17,1.38,55.2,ES1,2018
