Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Barcelona B,31,19.9,11,1.38,42.7,ES2,2015
2,Real Betis Balompié,33,25.3,6,1.12,37.0,ES2,2015
3,Real Valladolid CF,33,26.6,8,0.982,32.4,ES2,2015
4,CA Osasuna,34,24.8,9,0.632,21.5,ES2,2015
5,Sporting Gijón,27,24.2,3,0.744,20.1,ES2,2015
6,RCD Mallorca,37,25.0,10,0.541,20.0,ES2,2015
7,Real Zaragoza,36,24.1,6,0.489,17.6,ES2,2015
8,UD Las Palmas,31,27.0,3,0.561,17.4,ES2,2015
9,CD Tenerife,33,25.6,7,0.388,12.8,ES2,2015
10,CD Lugo,32,26.7,2,0.364,11.65,ES2,2015
11,SD Ponferradina,27,27.1,7,0.415,11.2,ES2,2015
12,Girona FC,28,25.9,2,0.386,10.8,ES2,2015
13,CD Numancia,29,27.1,7,0.367,10.65,ES2,2015
14,CD Leganés,30,26.1,3,0.353,10.6,ES2,2015
15,AD Alcorcón,30,26.9,5,0.34,10.2,ES2,2015
16,Racing Santander,29,25.8,3,0.321,9.3,ES2,2015
17,CE Sabadell FC,32,26.7,3,0.275,8.8,ES2,2015
18,Deportivo Alavés,25,28.3,2,0.34,8.5,ES2,2015
19,Recreativo Huelva,33,25.1,4,0.252,8.3,ES2,2015
20,Albacete Balompié,32,25.7,2,0.238,7.6,ES2,2015
21,CD Mirandés,26,26.6,1,0.285,7.4,ES2,2015
22,UE Llagostera,28,27.2,1,0.229,6.4,ES2,2015
