Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,29,25.3,13,15.94,462.4,L1,2013
2,Borussia Dortmund,31,24.2,10,9.75,302.3,L1,2013
3,FC Schalke 04,34,24.8,22,5.4,183.55,L1,2013
4,Bayer 04 Leverkusen,33,23.6,11,4.71,155.3,L1,2013
5,VfL Wolfsburg,36,25.8,26,3.03,109.0,L1,2013
6,Hamburger SV,30,25.1,18,3.5,104.95,L1,2013
7,VfB Stuttgart,34,25.4,19,2.74,93.13,L1,2013
8,Borussia Mönchengladbach,29,24.3,14,3.01,87.33,L1,2013
9,Hannover 96,35,25.6,20,2.38,83.15,L1,2013
10,TSG 1899 Hoffenheim,43,23.7,24,1.82,78.25,L1,2013
11,SV Werder Bremen,32,23.5,14,2.44,78.0,L1,2013
12,Eintracht Frankfurt,31,25.4,13,2.21,68.4,L1,2013
13,SC Freiburg,32,24.1,15,2.06,65.8,L1,2013
14,1.FSV Mainz 05,32,26.4,18,1.64,52.43,L1,2013
15,1.FC Nuremberg,32,24.1,13,1.46,46.83,L1,2013
16,FC Augsburg,33,26.2,18,1.17,38.45,L1,2013
17,SpVgg Greuther Fürth,37,24.8,18,0.901,33.33,L1,2013
18,Fortuna Düsseldorf,35,25.7,20,0.89,31.15,L1,2013
