Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica B,33,19.9,12,1.09,35.95,PO2,2023
2,FC Porto B,34,21.1,9,0.599,20.35,PO2,2023
3,Moreirense FC,25,26.5,16,0.389,9.73,PO2,2023
4,Académico Viseu FC,32,24.7,21,0.288,9.2,PO2,2023
5,SC Farense,28,27.5,15,0.271,7.6,PO2,2023
6,CD Tondela,26,22.8,12,0.279,7.25,PO2,2023
7,CD Mafra,32,23.3,20,0.207,6.63,PO2,2023
8,SC União Torreense,33,26.1,16,0.197,6.5,PO2,2023
9,CD Trofense,25,24.8,10,0.258,6.45,PO2,2023
10,UD Oliveirense,27,26.7,11,0.231,6.23,PO2,2023
11,FC Penafiel,28,27.7,4,0.221,6.18,PO2,2023
12,CD Feirense,24,24.9,11,0.251,6.03,PO2,2023
13,CF Estrela Amadora SAD,29,26.1,17,0.208,6.03,PO2,2023
14,B SAD,25,24.1,13,0.224,5.6,PO2,2023
15,UD Vilafranquense,29,26.3,17,0.184,5.35,PO2,2023
16,CD Nacional,27,24.8,12,0.195,5.28,PO2,2023
17,Leixões SC,26,27.2,14,0.19,4.95,PO2,2023
18,SC Covilhã,26,27.4,13,0.166,4.33,PO2,2023
