Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Paris Saint-Germain,39,24.5,22,13.31,519.0,FR1,2017
2,AS Monaco,47,23.2,31,6.59,309.55,FR1,2017
3,Olympique Lyon,34,23.6,14,6.22,211.35,FR1,2017
4,OGC Nice,39,23.5,16,3.41,132.8,FR1,2017
5,Olympique Marseille,33,25.7,13,3.63,119.65,FR1,2017
6,FC Girondins Bordeaux,36,24.6,21,2.47,88.9,FR1,2017
7,AS Saint-Étienne,42,24.0,20,2.02,85.03,FR1,2017
8,LOSC Lille,46,24.6,25,1.82,83.9,FR1,2017
9,Stade Rennais FC,43,25.0,23,1.88,80.9,FR1,2017
10,FC Toulouse,38,23.9,20,2.03,77.3,FR1,2017
11,FC Lorient,41,25.1,18,1.49,61.1,FR1,2017
12,Montpellier HSC,35,25.6,20,1.74,60.95,FR1,2017
13,FC Nantes,30,24.4,18,1.7,50.9,FR1,2017
14,Angers SCO,36,26.3,21,1.28,46.08,FR1,2017
15,EA Guingamp,35,26.2,14,1.21,42.5,FR1,2017
16,FC Metz,39,24.5,24,0.963,37.55,FR1,2017
17,SM Caen,36,26.1,20,1.02,36.65,FR1,2017
18,SC Bastia,37,25.1,19,0.985,36.45,FR1,2017
19,AS Nancy-Lorraine,30,26.1,15,1.1,33.1,FR1,2017
20,Dijon FCO,33,26.3,12,0.945,31.2,FR1,2017
