Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,28,27.8,14,6.35,177.88,L1,2006
2,SV Werder Bremen,28,25.1,13,3.99,111.6,L1,2006
3,Hamburger SV,35,24.6,17,3.05,106.9,L1,2006
4,FC Schalke 04,32,25.2,16,2.72,87.18,L1,2006
5,Bayer 04 Leverkusen,33,24.5,15,2.46,81.23,L1,2006
6,Borussia Dortmund,35,23.6,14,2.24,78.53,L1,2006
7,Hertha BSC,31,25.8,20,2.35,72.7,L1,2006
8,VfB Stuttgart,33,26.0,13,2.12,69.8,L1,2006
9,VfL Wolfsburg,32,27.5,22,1.92,61.38,L1,2006
10,1.FC Nuremberg,32,25.2,16,1.63,52.13,L1,2006
11,Borussia Mönchengladbach,34,26.9,21,1.47,49.9,L1,2006
12,Hannover 96,33,25.5,13,1.37,45.35,L1,2006
13,1. FC Köln,37,26.5,16,1.18,43.63,L1,2006
14,Eintracht Frankfurt,32,26.1,13,1.25,39.95,L1,2006
15,1.FSV Mainz 05,31,25.9,9,1.22,37.75,L1,2006
16,1.FC Kaiserslautern,35,26.5,15,1.07,37.38,L1,2006
17,Arminia Bielefeld,33,26.3,15,0.995,32.85,L1,2006
18,MSV Duisburg,31,27.6,10,0.78,24.18,L1,2006
