Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica B,59,20.1,27,0.425,25.1,PO2,2017
2,FC Porto B,48,21.3,20,0.483,23.2,PO2,2017
3,Sporting CP B,53,21.0,22,0.418,22.15,PO2,2017
4,SC Braga B,46,21.3,23,0.417,19.18,PO2,2017
5,Vitória Guimarães SC B,47,21.4,22,0.384,18.05,PO2,2017
6,Portimonense SC,38,24.1,29,0.265,10.08,PO2,2017
7,Desportivo Aves (- 2020),36,26.4,17,0.222,8.0,PO2,2017
8,CF União Madeira (-2021),37,25.9,22,0.205,7.58,PO2,2017
9,Académica Coimbra,35,25.1,10,0.211,7.38,PO2,2017
10,SC Covilhã,31,26.2,17,0.233,7.23,PO2,2017
11,Gil Vicente FC,39,23.2,24,0.165,6.45,PO2,2017
12,FC Penafiel,26,26.6,9,0.243,6.33,PO2,2017
13,CD Santa Clara,33,26.7,13,0.174,5.75,PO2,2017
14,Varzim SC,32,25.3,19,0.179,5.73,PO2,2017
15,FC Famalicão,31,26.7,15,0.176,5.45,PO2,2017
16,Leixões SC,37,24.0,17,0.142,5.25,PO2,2017
17,Académico Viseu FC,33,26.3,14,0.155,5.1,PO2,2017
18,SC Olhanense,41,23.5,24,0.123,5.03,PO2,2017
19,SC Freamunde,35,25.9,12,0.134,4.7,PO2,2017
20,FC Vizela,34,26.0,15,0.135,4.6,PO2,2017
21,CD Cova Piedade,30,28.3,15,0.137,4.1,PO2,2017
22,AD Fafe,33,25.2,9,0.119,3.93,PO2,2017
