Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Chelsea FC,38,24.9,28,14.66,557.25,GB1,2015
2,Manchester United,43,24.9,26,11.75,505.4,GB1,2015
3,Manchester City,34,26.7,27,13.18,448.25,GB1,2015
4,Arsenal FC,42,24.0,29,9.88,414.75,GB1,2015
5,Liverpool FC,35,24.3,21,9.28,324.85,GB1,2015
6,Tottenham Hotspur,42,24.7,25,7.24,304.15,GB1,2015
7,Southampton FC,37,24.5,20,5.68,210.25,GB1,2015
8,Everton FC,40,25.3,22,4.57,182.85,GB1,2015
9,Newcastle United,42,23.9,27,3.33,140.0,GB1,2015
10,West Ham United,36,25.8,21,3.78,135.9,GB1,2015
11,Swansea City,36,25.3,26,3.63,130.75,GB1,2015
12,Hull City,35,27.0,24,3.35,117.1,GB1,2015
13,Aston Villa,38,25.3,20,3.01,114.25,GB1,2015
14,Queens Park Rangers,41,26.0,25,2.74,112.25,GB1,2015
15,Stoke City,30,27.4,23,3.68,110.5,GB1,2015
16,Crystal Palace,42,27.0,26,2.32,97.25,GB1,2015
17,West Bromwich Albion,34,26.5,23,2.82,95.95,GB1,2015
18,Sunderland AFC,34,25.8,20,2.68,91.0,GB1,2015
19,Leicester City,37,26.9,19,1.8,66.7,GB1,2015
20,Burnley FC,30,26.5,13,1.75,52.55,GB1,2015
