Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,União de Leiria,30,26.6,15,0.365,10.95,PO2,2009
2,SC Olhanense,29,25.4,13,0.267,7.75,PO2,2009
3,SC Beira-Mar,30,26.8,11,0.233,7.0,PO2,2009
4,Portimonense SC,26,24.7,13,0.238,6.2,PO2,2009
5,Gil Vicente FC,26,24.6,9,0.235,6.1,PO2,2009
6,Desportivo Aves (- 2020),27,26.7,3,0.194,5.25,PO2,2009
7,Boavista FC,24,23.0,10,0.217,5.2,PO2,2009
8,CD Santa Clara,26,26.0,14,0.198,5.15,PO2,2009
9,Varzim SC,25,26.9,4,0.193,4.83,PO2,2009
10,SC Covilhã,29,26.3,8,0.157,4.55,PO2,2009
11,SC Freamunde,28,25.9,9,0.143,4.0,PO2,2009
12,GD Estoril Praia,27,27.1,12,0.148,4.0,PO2,2009
13,FC Vizela,24,28.5,3,0.165,3.95,PO2,2009
14,CD Feirense,24,27.5,13,0.158,3.8,PO2,2009
15,Gondomar SC,24,27.1,9,0.129,3.1,PO2,2009
16,UD Oliveirense,22,29.0,6,0.132,2.9,PO2,2009
