Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Real Valladolid CF,31,25.5,6,0.696,21.58,ES2,2006
2,Levante UD,27,27.8,10,0.7,18.9,ES2,2006
3,Albacete Balompié,32,26.2,2,0.583,18.64,ES2,2006
4,Real Madrid Castilla,26,21.7,2,0.523,13.6,ES2,2006
5,CD Numancia,37,27.8,5,0.343,12.68,ES2,2006
6,UD Almería,29,27.1,5,0.253,7.35,ES2,2006
7,Recreativo Huelva,29,26.2,5,0.24,6.95,ES2,2006
8,Real Murcia CF,34,27.4,13,0.185,6.3,ES2,2006
9,Elche CF,30,26.5,4,0.198,5.95,ES2,2006
10,CD Tenerife,31,25.0,11,0.161,5.0,ES2,2006
11,Hércules CF,32,27.6,3,0.154,4.93,ES2,2006
12,Ciudad de Murcia,31,25.9,8,0.132,4.1,ES2,2006
13,Xerez CD,27,26.9,3,0.118,3.18,ES2,2006
14,Lorca Deportiva CF,26,28.2,3,0.117,3.05,ES2,2006
15,UE Lleida,29,25.8,3,0.103,3.0,ES2,2006
16,Racing Ferrol,31,26.9,10,0.095,2.95,ES2,2006
17,Gimnàstic de Tarragona,29,27.7,2,0.088,2.55,ES2,2006
18,CD Castellón,35,26.8,4,0.041,1.45,ES2,2006
19,SD Eibar,32,25.7,2,0.045,1.43,ES2,2006
20,Sporting Gijón,34,24.1,3,0.035,1.2,ES2,2006
21,Polideportivo Ejido,28,26.9,4,0.036,1.0,ES2,2006
22,Málaga CF B,21,21.7,4,0.035,0.725,ES2,2006
