Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Toulouse,43,22.6,22,1.37,58.83,FR2,2021
2,Amiens SC,46,24.1,28,1.13,52.15,FR2,2021
3,ESTAC Troyes,39,24.0,16,0.74,28.85,FR2,2021
4,Valenciennes FC,30,24.9,14,0.818,24.55,FR2,2021
5,Clermont Foot 63,27,25.3,14,0.891,24.05,FR2,2021
6,EA Guingamp,35,25.8,19,0.67,23.45,FR2,2021
7,SM Caen,39,23.6,14,0.581,22.65,FR2,2021
8,FC Sochaux-Montbéliard,33,24.0,13,0.598,19.75,FR2,2021
9,Paris FC,35,24.5,16,0.524,18.35,FR2,2021
10,AC Le Havre,38,23.2,18,0.481,18.28,FR2,2021
11,Chamois Niortais FC,33,23.0,14,0.552,18.2,FR2,2021
12,AC Ajaccio,33,25.3,11,0.542,17.9,FR2,2021
13,AS Nancy-Lorraine,32,24.7,16,0.552,17.65,FR2,2021
14,AJ Auxerre,31,26.2,13,0.558,17.3,FR2,2021
15,LB Châteauroux,41,23.7,15,0.379,15.55,FR2,2021
16,Grenoble Foot 38,31,26.0,14,0.489,15.15,FR2,2021
17,Rodez AF,30,26.0,9,0.48,14.4,FR2,2021
18,Pau FC,33,25.4,13,0.403,13.3,FR2,2021
19,FC Chambly Oise,40,26.3,7,0.319,12.75,FR2,2021
20,USL Dunkerque,31,26.1,9,0.379,11.75,FR2,2021
