Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Borussia Mönchengladbach,29,25.6,13,1.06,30.8,L2,2008
2,TSG 1899 Hoffenheim,35,24.8,13,0.825,28.88,L2,2008
3,1.FSV Mainz 05,31,25.4,16,0.876,27.15,L2,2008
4,1. FC Köln,29,26.5,16,0.924,26.8,L2,2008
5,SC Freiburg,35,24.6,21,0.707,24.75,L2,2008
6,1.FC Kaiserslautern,36,23.6,16,0.55,19.8,L2,2008
7,Alemannia Aachen,30,25.8,10,0.638,19.15,L2,2008
8,SpVgg Greuther Fürth,30,23.9,10,0.551,16.53,L2,2008
9,TuS Koblenz,30,27.0,17,0.542,16.25,L2,2008
10,FC Carl Zeiss Jena,37,25.3,15,0.416,15.38,L2,2008
11,TSV 1860 Munich,31,24.9,11,0.456,14.15,L2,2008
12,FC Augsburg,30,26.6,11,0.448,13.45,L2,2008
13,SC Paderborn 07,35,26.9,10,0.38,13.3,L2,2008
14,FC Erzgebirge Aue,33,26.8,11,0.385,12.7,L2,2008
15,SV Wehen Wiesbaden,32,25.9,14,0.383,12.25,L2,2008
16,VfL Osnabrück,30,26.6,4,0.372,11.15,L2,2008
17,FC St. Pauli,30,25.3,9,0.37,11.1,L2,2008
18,Kickers Offenbach,29,26.5,10,0.367,10.65,L2,2008
