Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,31,24.5,24,8.29,256.95,PO1,2013
2,SL Benfica,36,25.4,25,7.05,253.95,PO1,2013
3,Sporting CP,40,23.4,25,3.8,151.9,PO1,2013
4,SC Braga,40,25.9,23,2.67,106.6,PO1,2013
5,CS Marítimo,39,24.8,26,0.909,35.45,PO1,2013
6,CD Nacional,35,23.6,22,0.856,29.95,PO1,2013
7,Vitória Guimarães SC,43,22.9,21,0.656,28.2,PO1,2013
8,FC Paços de Ferreira,28,26.0,12,0.968,27.1,PO1,2013
9,Rio Ave FC,31,24.3,16,0.853,26.45,PO1,2013
10,Académica Coimbra,30,25.6,19,0.875,26.25,PO1,2013
11,SC Beira-Mar,30,25.4,12,0.803,24.1,PO1,2013
12,GD Estoril Praia,29,25.1,16,0.81,23.5,PO1,2013
13,SC Olhanense,36,26.2,17,0.554,19.95,PO1,2013
14,Gil Vicente FC,35,26.9,20,0.507,17.75,PO1,2013
15,Vitória Setúbal FC,30,26.4,10,0.567,17.0,PO1,2013
16,Moreirense FC,30,26.9,17,0.558,16.73,PO1,2013
