Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,RC Strasbourg Alsace,39,23.7,18,0.665,25.93,FR2,2007
2,FC Metz,42,22.8,24,0.466,19.58,FR2,2007
3,AC Ajaccio,32,24.0,12,0.609,19.5,FR2,2007
4,SM Caen,23,24.8,2,0.7,16.1,FR2,2007
5,Stade Brestois 29,30,25.8,9,0.406,12.18,FR2,2007
6,SC Bastia,34,24.1,12,0.327,11.13,FR2,2007
7,Dijon FCO,29,27.0,9,0.335,9.73,FR2,2007
8,EA Guingamp,34,24.5,14,0.285,9.7,FR2,2007
9,FC Istres Ouest Provence,37,24.9,15,0.249,9.23,FR2,2007
10,Grenoble Foot 38,30,24.5,15,0.28,8.4,FR2,2007
11,US Créteil-Lusitanos,40,26.0,22,0.196,7.85,FR2,2007
12,AC Le Havre,29,25.1,10,0.255,7.4,FR2,2007
13,Amiens SC,32,24.5,10,0.197,6.3,FR2,2007
14,Montpellier HSC,33,24.5,15,0.183,6.05,FR2,2007
15,Chamois Niortais FC,33,25.3,6,0.18,5.93,FR2,2007
16,LB Châteauroux,39,24.6,19,0.15,5.85,FR2,2007
17,Stade Reims,34,25.7,12,0.17,5.78,FR2,2007
18,Tours FC,31,26.0,13,0.13,4.03,FR2,2007
19,FC Gueugnon,38,24.1,11,0.103,3.9,FR2,2007
20,FC Libourne-Saint-Seurin,28,26.0,8,0.121,3.38,FR2,2007
