Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto,40,25.6,20,10.09,403.58,PO1,2022
2,Sporting CP,38,24.0,16,8.89,337.73,PO1,2022
3,SL Benfica,41,25.4,22,7.57,310.18,PO1,2022
4,SC Braga,46,24.2,16,3.46,159.03,PO1,2022
5,Vitória Guimarães SC,37,24.1,16,1.84,68.0,PO1,2022
6,FC Famalicão,46,23.4,31,1.48,67.85,PO1,2022
7,Boavista FC,39,24.1,21,0.996,38.85,PO1,2022
8,Portimonense SC,42,25.2,31,0.916,38.48,PO1,2022
9,GD Estoril Praia,46,23.7,25,0.788,36.23,PO1,2022
10,CD Santa Clara,33,26.5,22,0.927,30.6,PO1,2022
11,Gil Vicente FC,31,25.4,22,0.959,29.73,PO1,2022
12,FC Paços de Ferreira,37,25.0,19,0.703,26.0,PO1,2022
13,CD Tondela,37,24.0,22,0.59,21.83,PO1,2022
14,B SAD,41,24.3,18,0.488,20.0,PO1,2022
15,Moreirense FC,30,26.9,20,0.633,19.0,PO1,2022
16,FC Vizela,43,24.6,27,0.398,17.13,PO1,2022
17,FC Arouca,37,27.2,29,0.454,16.8,PO1,2022
18,CS Marítimo,33,25.9,20,0.488,16.1,PO1,2022
