Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Real Zaragoza,36,25.3,11,1.84,66.1,ES2,2009
2,Real Sociedad,33,24.3,7,1.1,36.3,ES2,2009
3,Real Murcia CF,36,25.4,9,0.775,27.9,ES2,2009
4,Celta de Vigo,31,25.6,10,0.787,24.4,ES2,2009
5,Hércules CF,28,27.4,3,0.757,21.2,ES2,2009
6,Xerez CD,28,26.5,7,0.707,19.8,ES2,2009
7,Deportivo Alavés,33,26.2,5,0.579,19.1,ES2,2009
8,Elche CF,28,25.0,8,0.679,19.0,ES2,2009
9,CD Tenerife,29,26.1,3,0.634,18.4,ES2,2009
10,Levante UD,30,25.3,2,0.58,17.4,ES2,2009
11,Albacete Balompié,32,23.9,4,0.541,17.3,ES2,2009
12,CD Castellón,29,26.6,5,0.579,16.8,ES2,2009
13,Gimnàstic de Tarragona,33,26.2,7,0.5,16.5,ES2,2009
14,UD Salamanca,28,25.6,7,0.579,16.2,ES2,2009
15,Rayo Vallecano,29,27.3,1,0.555,16.1,ES2,2009
16,Córdoba CF,29,27.8,4,0.547,15.85,ES2,2009
17,SD Eibar,37,26.2,3,0.416,15.4,ES2,2009
18,UD Las Palmas,32,24.9,4,0.472,15.1,ES2,2009
19,Girona FC,31,27.0,4,0.455,14.1,ES2,2009
20,Sevilla Atlético,38,21.6,9,0.366,13.9,ES2,2009
21,SD Huesca,28,26.7,2,0.443,12.4,ES2,2009
22,Alicante CF,33,27.5,0,0.294,9.7,ES2,2009
