Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Juventus FC,35,27.0,12,9.4,329.0,IT1,2015
2,AS Roma,43,25.9,24,6.44,276.78,IT1,2015
3,SSC Napoli,34,26.7,23,7.71,262.18,IT1,2015
4,Inter Milan,44,24.5,32,5.93,260.7,IT1,2015
5,AC Milan,47,25.2,19,5.02,236.13,IT1,2015
6,ACF Fiorentina,49,25.9,30,4.41,216.13,IT1,2015
7,SS Lazio,36,26.3,27,4.65,167.55,IT1,2015
8,UC Sampdoria,41,25.6,20,3.23,132.23,IT1,2015
9,Genoa CFC,48,25.1,21,2.44,117.33,IT1,2015
10,Udinese Calcio,50,23.9,36,2.14,107.18,IT1,2015
11,US Palermo,40,24.9,22,2.32,92.6,IT1,2015
12,US Sassuolo,41,26.3,8,2.22,91.03,IT1,2015
13,Atalanta BC,42,26.9,16,1.99,83.48,IT1,2015
14,Torino FC,45,26.0,21,1.84,82.58,IT1,2015
15,Cagliari Calcio,36,24.5,14,2.08,74.7,IT1,2015
16,Parma FC,55,25.1,24,1.2,65.95,IT1,2015
17,Chievo Verona,40,27.6,23,1.55,62.05,IT1,2015
18,Empoli FC,40,23.8,13,1.35,54.03,IT1,2015
19,Hellas Verona,38,26.4,23,1.1,41.8,IT1,2015
20,AC Cesena,37,25.9,10,0.923,34.15,IT1,2015
