Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Olympique Lyon,37,23.6,19,5.63,208.3,FR1,2010
2,Olympique Marseille,32,26.1,19,4.58,146.7,FR1,2010
3,FC Girondins Bordeaux,29,25.6,13,4.96,143.7,FR1,2010
4,LOSC Lille,32,24.6,16,3.27,104.6,FR1,2010
5,Paris Saint-Germain,27,26.7,11,3.47,93.6,FR1,2010
6,FC Toulouse,35,23.8,14,2.55,89.35,FR1,2010
7,AS Monaco,37,24.8,27,2.36,87.25,FR1,2010
8,Stade Rennais FC,31,25.6,17,2.81,87.25,FR1,2010
9,AS Saint-Étienne,32,24.6,17,2.38,76.15,FR1,2010
10,AJ Auxerre,33,24.5,18,1.95,64.25,FR1,2010
11,OGC Nice,31,25.2,17,1.95,60.55,FR1,2010
12,AS Nancy-Lorraine,31,25.7,17,1.92,59.6,FR1,2010
13,FC Lorient,30,26.5,11,1.94,58.2,FR1,2010
14,Valenciennes FC,32,26.3,17,1.69,54.2,FR1,2010
15,Montpellier HSC,33,25.2,13,1.61,53.1,FR1,2010
16,Le Mans Union Club 72,39,24.0,26,1.24,48.2,FR1,2010
17,FC Sochaux-Montbéliard,31,23.4,16,1.53,47.45,FR1,2010
18,RC Lens,32,25.2,19,1.47,47.05,FR1,2010
19,Grenoble Foot 38,34,26.2,17,1.01,34.5,FR1,2010
20,US Boulogne,33,25.8,11,0.924,30.5,FR1,2010
