Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,31,24.8,21,3.61,111.9,NL1,2010
2,PSV Eindhoven,31,25.2,17,2.89,89.7,NL1,2010
3,AZ Alkmaar,28,25.1,19,2.95,82.6,NL1,2010
4,Feyenoord Rotterdam,29,24.8,11,2.33,67.7,NL1,2010
5,Twente Enschede FC,31,24.9,18,1.93,59.75,NL1,2010
6,SC Heerenveen,37,24.3,23,1.16,43.05,NL1,2010
7,FC Groningen,35,23.9,18,1.08,37.83,NL1,2010
8,FC Utrecht,29,24.9,13,1.11,32.2,NL1,2010
9,Vitesse Arnhem,30,23.4,7,0.842,25.25,NL1,2010
10,NAC Breda,32,26.5,7,0.734,23.5,NL1,2010
11,NEC Nijmegen,30,24.9,11,0.721,21.63,NL1,2010
12,Roda JC Kerkrade,32,24.9,23,0.634,20.28,NL1,2010
13,VVV-Venlo,29,24.5,11,0.691,20.05,NL1,2010
14,ADO Den Haag,36,25.8,10,0.511,18.4,NL1,2010
15,Sparta Rotterdam,32,23.8,8,0.538,17.2,NL1,2010
16,Willem II Tilburg,32,24.0,14,0.532,17.03,NL1,2010
17,Heracles Almelo,30,25.0,12,0.498,14.95,NL1,2010
18,RKC Waalwijk,29,24.1,12,0.42,12.18,NL1,2010
