Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,39,23.8,20,10.27,400.4,NL1,2020
2,PSV Eindhoven,41,24.0,20,5.36,219.58,NL1,2020
3,AZ Alkmaar,30,23.6,11,4.34,130.05,NL1,2020
4,Feyenoord Rotterdam,38,24.2,17,2.7,102.73,NL1,2020
5,FC Utrecht,42,24.0,17,1.16,48.58,NL1,2020
6,Vitesse Arnhem,34,24.7,19,0.898,30.53,NL1,2020
7,FC Groningen,37,22.2,14,0.822,30.4,NL1,2020
8,SC Heerenveen,29,22.9,16,0.922,26.75,NL1,2020
9,Heracles Almelo,32,23.8,17,0.702,22.48,NL1,2020
10,Willem II Tilburg,29,23.6,21,0.752,21.8,NL1,2020
11,Twente Enschede FC,32,23.8,19,0.665,21.28,NL1,2020
12,ADO Den Haag,41,25.5,16,0.473,19.4,NL1,2020
13,PEC Zwolle,37,23.9,14,0.446,16.5,NL1,2020
14,Sparta Rotterdam,30,24.3,13,0.517,15.5,NL1,2020
15,FC Emmen,36,24.8,16,0.367,13.23,NL1,2020
16,Fortuna Sittard,33,22.4,24,0.396,13.08,NL1,2020
17,VVV-Venlo,32,24.7,16,0.376,12.03,NL1,2020
18,RKC Waalwijk,36,24.9,12,0.299,10.78,NL1,2020
