Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Norwich City,44,25.4,25,1.74,76.6,GB2,2015
2,Cardiff City,52,25.0,31,1.24,64.33,GB2,2015
3,Wigan Athletic,50,26.0,26,1.22,61.15,GB2,2015
4,Nottingham Forest,41,25.1,20,1.31,53.8,GB2,2015
5,Derby County,42,24.8,22,1.16,48.65,GB2,2015
6,Watford FC,40,26.0,31,1.11,44.33,GB2,2015
7,Middlesbrough FC,40,24.7,19,1.1,43.88,GB2,2015
8,Blackburn Rovers,38,25.1,18,1.13,43.0,GB2,2015
9,Reading FC,45,24.3,31,0.955,42.98,GB2,2015
10,Fulham FC,42,24.0,30,1.01,42.4,GB2,2015
11,Bolton Wanderers,55,25.7,25,0.716,39.38,GB2,2015
12,Brighton & Hove Albion,42,26.1,26,0.812,34.1,GB2,2015
13,Charlton Athletic,45,23.9,27,0.688,30.95,GB2,2015
14,Leeds United,40,24.7,20,0.742,29.68,GB2,2015
15,Ipswich Town,43,25.2,20,0.686,29.5,GB2,2015
16,Wolverhampton Wanderers,37,24.3,22,0.742,27.45,GB2,2015
17,AFC Bournemouth,39,25.7,18,0.654,25.53,GB2,2015
18,Rotherham United,47,25.4,15,0.497,23.35,GB2,2015
19,Huddersfield Town,43,24.2,20,0.526,22.6,GB2,2015
20,Sheffield Wednesday,38,25.1,23,0.537,20.4,GB2,2015
21,Brentford FC,39,24.2,20,0.519,20.23,GB2,2015
22,Birmingham City,40,25.2,23,0.49,19.6,GB2,2015
23,Millwall FC,47,26.9,22,0.413,19.4,GB2,2015
24,Blackpool FC,55,24.6,23,0.342,18.83,GB2,2015
