Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Porto B,34,21.0,15,1.15,39.08,PO2,2020
2,SL Benfica B,42,20.4,17,0.668,28.05,PO2,2020
3,GD Estoril Praia,41,25.3,18,0.205,8.43,PO2,2020
4,GD Chaves,36,25.8,20,0.197,7.08,PO2,2020
5,SC Farense,30,26.7,16,0.236,7.08,PO2,2020
6,Leixões SC,40,26.4,17,0.173,6.93,PO2,2020
7,Varzim SC,32,25.6,16,0.189,6.05,PO2,2020
8,CD Nacional,32,25.7,23,0.186,5.95,PO2,2020
9,Académico Viseu FC,31,26.9,14,0.189,5.85,PO2,2020
10,UD Vilafranquense,36,26.3,21,0.161,5.8,PO2,2020
11,CD Feirense,30,27.3,16,0.19,5.7,PO2,2020
12,Académica Coimbra,36,26.1,13,0.156,5.6,PO2,2020
13,CD Cova Piedade,37,26.4,24,0.141,5.2,PO2,2020
14,CD Mafra,28,25.9,8,0.175,4.9,PO2,2020
15,FC Penafiel,28,26.5,10,0.172,4.83,PO2,2020
16,SC Covilhã,27,27.5,14,0.176,4.75,PO2,2020
17,UD Oliveirense,32,25.4,16,0.142,4.55,PO2,2020
18,Casa Pia AC,32,26.9,17,0.123,3.95,PO2,2020
