Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam U21,41,19.2,12,1.51,61.73,NL2,2021
2,AZ Alkmaar U21,48,20.2,8,0.49,23.53,NL2,2021
3,FC Utrecht U21,53,20.1,13,0.317,16.8,NL2,2021
4,NAC Breda,44,23.5,17,0.282,12.43,NL2,2021
5,PSV Eindhoven U21,49,19.3,19,0.231,11.33,NL2,2021
6,FC Volendam,39,21.3,12,0.247,9.65,NL2,2021
7,SC Cambuur Leeuwarden,32,24.3,7,0.275,8.8,NL2,2021
8,De Graafschap Doetinchem,31,24.3,3,0.28,8.68,NL2,2021
9,NEC Nijmegen,29,22.9,9,0.298,8.65,NL2,2021
10,Almere City FC,38,23.3,16,0.222,8.45,NL2,2021
11,Roda JC Kerkrade,33,24.2,12,0.254,8.38,NL2,2021
12,Excelsior Rotterdam,34,23.0,8,0.217,7.38,NL2,2021
13,Go Ahead Eagles,34,23.1,8,0.201,6.83,NL2,2021
14,MVV Maastricht,37,23.2,16,0.166,6.15,NL2,2021
15,FC Eindhoven,43,22.2,10,0.141,6.08,NL2,2021
16,FC Den Bosch,41,22.3,10,0.144,5.9,NL2,2021
17,SC Telstar,40,22.2,12,0.147,5.88,NL2,2021
18,TOP Oss,32,25.0,8,0.177,5.68,NL2,2021
19,FC Dordrecht,38,21.8,14,0.136,5.15,NL2,2021
20,Helmond Sport,26,22.8,7,0.169,4.4,NL2,2021
