Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Cagliari Calcio,44,23.2,8,1.21,53.33,IT2,2016
2,Delfino Pescara 1936,56,23.7,15,0.656,36.73,IT2,2016
3,AC Cesena,39,23.7,7,0.747,29.15,IT2,2016
4,FC Bari 1908,43,25.8,12,0.56,24.08,IT2,2016
5,AC Perugia Calcio,48,23.3,18,0.439,21.05,IT2,2016
6,FC Crotone,38,24.2,9,0.542,20.6,IT2,2016
7,Vicenza Calcio,57,23.5,11,0.351,20.0,IT2,2016
8,Novara Calcio 1908,47,24.5,11,0.419,19.7,IT2,2016
9,Spezia Calcio,37,25.3,21,0.529,19.58,IT2,2016
10,Calcio Como,47,24.0,11,0.398,18.7,IT2,2016
11,US Latina Calcio,47,24.9,13,0.353,16.58,IT2,2016
12,AS Livorno,50,22.9,8,0.326,16.28,IT2,2016
13,US Avellino 1912,39,25.5,10,0.409,15.95,IT2,2016
14,Brescia Calcio,43,23.2,9,0.367,15.78,IT2,2016
15,SS Virtus Lanciano,42,24.8,7,0.371,15.6,IT2,2016
16,Virtus Entella,44,24.4,7,0.334,14.7,IT2,2016
17,Ascoli Picchio,45,24.1,8,0.321,14.45,IT2,2016
18,Ternana Calcio,42,23.3,9,0.338,14.18,IT2,2016
19,US Salernitana 1919,52,25.4,13,0.254,13.23,IT2,2016
20,Trapani Calcio,44,24.8,9,0.301,13.23,IT2,2016
21,FC Pro Vercelli 1892,45,23.5,6,0.259,11.65,IT2,2016
22,Modena FC,39,25.1,11,0.298,11.63,IT2,2016
