Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Chelsea FC,33,26.5,24,13.59,448.6,GB1,2009
2,Manchester United,42,23.9,26,10.14,425.95,GB1,2009
3,Liverpool FC,33,24.8,27,10.39,342.85,GB1,2009
4,Arsenal FC,41,22.2,31,7.6,311.45,GB1,2009
5,Tottenham Hotspur,43,23.7,24,6.49,279.1,GB1,2009
6,Manchester City,38,24.6,26,6.65,252.85,GB1,2009
7,Everton FC,32,24.8,16,5.95,190.33,GB1,2009
8,Aston Villa,32,25.1,14,4.79,153.35,GB1,2009
9,Portsmouth FC,36,27.6,22,4.24,152.6,GB1,2009
10,Newcastle United,38,24.8,22,3.54,134.55,GB1,2009
11,West Ham United,40,25.2,20,3.35,133.9,GB1,2009
12,Sunderland AFC,44,25.5,29,2.51,110.3,GB1,2009
13,Wigan Athletic,35,26.5,22,2.96,103.75,GB1,2009
14,Blackburn Rovers,36,26.1,27,2.53,91.2,GB1,2009
15,Middlesbrough FC,33,23.2,14,2.59,85.45,GB1,2009
16,Fulham FC,38,26.2,24,2.21,83.85,GB1,2009
17,Bolton Wanderers,33,25.9,20,2.47,81.65,GB1,2009
18,West Bromwich Albion,35,24.9,25,1.89,66.1,GB1,2009
19,Hull City,35,27.9,17,1.85,64.7,GB1,2009
20,Stoke City,38,26.8,19,1.67,63.45,GB1,2009
