Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,33,26.1,18,17.05,562.55,L1,2017
2,Borussia Dortmund,31,25.2,16,12.6,390.65,L1,2017
3,Bayer 04 Leverkusen,39,23.8,22,6.8,265.03,L1,2017
4,FC Schalke 04,39,24.7,22,5.57,217.25,L1,2017
5,VfL Wolfsburg,43,24.5,21,4.72,203.08,L1,2017
6,RB Leipzig,33,23.6,17,5.34,176.33,L1,2017
7,Borussia Mönchengladbach,33,24.4,16,4.91,162.18,L1,2017
8,TSG 1899 Hoffenheim,33,24.5,16,4.2,138.63,L1,2017
9,1. FC Köln,30,25.4,14,3.87,116.15,L1,2017
10,1.FSV Mainz 05,39,24.3,23,2.48,96.73,L1,2017
11,Hertha BSC,33,25.0,15,2.93,96.53,L1,2017
12,SV Werder Bremen,41,25.5,20,2.18,89.45,L1,2017
13,SC Freiburg,36,25.0,14,2.41,86.73,L1,2017
14,Hamburger SV,38,24.6,21,2.12,80.48,L1,2017
15,Eintracht Frankfurt,35,24.1,22,2.07,72.3,L1,2017
16,FC Augsburg,37,26.3,21,1.78,65.85,L1,2017
17,FC Ingolstadt 04,32,24.8,15,1.21,38.63,L1,2017
18,SV Darmstadt 98,39,26.7,17,0.666,25.98,L1,2017
