Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,US Palermo,47,23.9,24,1.28,60.15,IT2,2014
2,Delfino Pescara 1936,56,23.2,14,0.54,30.25,IT2,2014
3,AC Siena,60,24.9,14,0.479,28.73,IT2,2014
4,Spezia Calcio,54,23.6,16,0.531,28.68,IT2,2014
5,AC Cesena,67,23.3,13,0.323,21.63,IT2,2014
6,Calcio Padova,53,24.2,13,0.386,20.45,IT2,2014
7,AS Bari,47,23.5,14,0.397,18.65,IT2,2014
8,Novara Calcio 1908,58,24.1,16,0.315,18.25,IT2,2014
9,FC Crotone,41,23.5,11,0.427,17.53,IT2,2014
10,Empoli FC,41,24.1,11,0.425,17.43,IT2,2014
11,Brescia Calcio,59,22.8,20,0.286,16.88,IT2,2014
12,Carpi FC 1909,41,23.5,8,0.377,15.45,IT2,2014
13,Ternana Calcio,40,23.9,7,0.379,15.18,IT2,2014
14,US Latina Calcio,47,24.3,9,0.314,14.75,IT2,2014
15,Modena FC,36,24.1,6,0.406,14.6,IT2,2014
16,Varese 1910,43,25.4,9,0.337,14.48,IT2,2014
17,AS Cittadella,39,24.2,6,0.355,13.85,IT2,2014
18,Reggina Calcio,61,22.7,11,0.221,13.48,IT2,2014
19,SS Virtus Lanciano,43,24.5,6,0.283,12.15,IT2,2014
20,SS Juve Stabia,50,24.5,8,0.24,12.0,IT2,2014
21,AS Avellino 1912,35,25.8,9,0.317,11.1,IT2,2014
22,Trapani Calcio,43,25.4,4,0.218,9.38,IT2,2014
