Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Hertha BSC,33,24.3,15,1.14,37.68,L2,2013
2,1.FC Kaiserslautern,38,25.3,17,0.929,35.3,L2,2013
3,1. FC Köln,31,24.0,14,0.785,24.35,L2,2013
4,FC St. Pauli,33,24.6,6,0.686,22.65,L2,2013
5,Eintracht Braunschweig,28,25.5,10,0.702,19.65,L2,2013
6,VfL Bochum,33,25.0,12,0.56,18.48,L2,2013
7,TSV 1860 Munich,33,25.5,11,0.525,17.33,L2,2013
8,MSV Duisburg,31,25.6,14,0.545,16.9,L2,2013
9,1.FC Union Berlin,30,25.0,9,0.511,15.33,L2,2013
10,FC Energie Cottbus,34,25.5,11,0.444,15.1,L2,2013
11,FSV Frankfurt,33,24.0,12,0.439,14.5,L2,2013
12,FC Ingolstadt 04,31,27.2,12,0.465,14.43,L2,2013
13,SG Dynamo Dresden,30,24.7,14,0.479,14.38,L2,2013
14,FC Erzgebirge Aue,28,26.1,5,0.482,13.5,L2,2013
15,SC Paderborn 07,30,24.9,7,0.437,13.1,L2,2013
16,VfR Aalen,26,26.6,7,0.45,11.7,L2,2013
17,SSV Jahn Regensburg,33,25.3,10,0.295,9.73,L2,2013
18,SV Sandhausen,31,27.0,9,0.313,9.7,L2,2013
