Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Olympique Lyon,35,25.2,15,6.76,236.45,FR1,2007
2,Olympique Marseille,32,24.8,16,3.72,119.05,FR1,2007
3,LOSC Lille,32,24.2,16,3.19,102.15,FR1,2007
4,AS Monaco,36,25.1,21,2.72,97.8,FR1,2007
5,FC Girondins Bordeaux,35,24.3,19,2.47,86.4,FR1,2007
6,Paris Saint-Germain,33,25.1,15,2.6,85.9,FR1,2007
7,RC Lens,31,24.8,20,2.64,81.85,FR1,2007
8,AS Saint-Étienne,31,24.7,17,2.62,81.1,FR1,2007
9,Stade Rennais FC,33,24.1,19,2.39,78.85,FR1,2007
10,AJ Auxerre,38,23.7,18,1.81,68.75,FR1,2007
11,FC Sochaux-Montbéliard,32,25.3,17,1.77,56.63,FR1,2007
12,AS Nancy-Lorraine,33,25.4,16,1.43,47.35,FR1,2007
13,FC Toulouse,33,24.0,15,1.41,46.4,FR1,2007
14,Le Mans Union Club 72,31,23.3,16,1.48,46.0,FR1,2007
15,FC Nantes,37,24.4,22,1.12,41.4,FR1,2007
16,OGC Nice,29,25.4,13,1.41,41.0,FR1,2007
17,ESTAC Troyes,33,26.7,14,0.895,29.55,FR1,2007
18,CS Sedan-Ardennes,31,26.0,12,0.834,25.85,FR1,2007
19,FC Lorient,34,25.6,14,0.714,24.28,FR1,2007
20,Valenciennes FC,27,27.4,9,0.877,23.68,FR1,2007
