Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Barcelona,32,25.1,20,25.42,813.5,ES1,2021
2,Real Madrid,37,24.8,17,21.28,787.3,ES1,2021
3,Atlético de Madrid,39,24.9,21,19.82,773.1,ES1,2021
4,Sevilla FC,38,25.6,17,11.01,418.25,ES1,2021
5,Real Sociedad,38,24.7,6,10.7,406.6,ES1,2021
6,Villarreal CF,36,25.9,13,8.13,292.6,ES1,2021
7,Valencia CF,35,24.7,20,7.97,278.85,ES1,2021
8,Real Betis Balompié,33,26.8,12,6.29,207.7,ES1,2021
9,Athletic Bilbao,32,25.9,2,6.38,204.15,ES1,2021
10,Getafe CF,33,25.4,19,5.15,170.1,ES1,2021
11,Celta de Vigo,41,24.3,12,3.8,155.85,ES1,2021
12,Granada CF,44,24.9,17,2.79,122.65,ES1,2021
13,Levante UD,34,26.5,10,3.32,113.0,ES1,2021
14,CA Osasuna,36,27.0,7,2.69,96.75,ES1,2021
15,SD Eibar,34,27.1,9,2.45,83.4,ES1,2021
16,Deportivo Alavés,35,25.6,10,2.28,79.8,ES1,2021
17,SD Huesca,34,26.5,8,1.89,64.1,ES1,2021
18,Real Valladolid CF,39,26.9,9,1.62,63.05,ES1,2021
19,Cádiz CF,41,27.2,16,1.16,47.65,ES1,2021
20,Elche CF,42,26.7,15,1.09,45.65,ES1,2021
