Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Chelsea FC,49,24.7,40,11.92,584.2,GB1,2014
2,Manchester City,27,26.8,21,16.88,455.8,GB1,2014
3,Manchester United,37,25.5,24,10.88,402.55,GB1,2014
4,Arsenal FC,41,24.5,34,9.41,385.75,GB1,2014
5,Liverpool FC,36,24.1,25,8.77,315.75,GB1,2014
6,Tottenham Hotspur,41,23.8,22,7.05,288.95,GB1,2014
7,Everton FC,34,26.0,23,6.18,210.0,GB1,2014
8,Newcastle United,37,24.8,27,4.66,172.3,GB1,2014
9,Southampton FC,35,24.2,17,3.76,131.5,GB1,2014
10,Swansea City,36,25.7,28,3.58,128.93,GB1,2014
11,Sunderland AFC,39,25.6,28,3.13,122.0,GB1,2014
12,Fulham FC,48,25.9,36,2.35,112.65,GB1,2014
13,West Ham United,45,25.9,26,2.43,109.5,GB1,2014
14,Aston Villa,36,24.7,22,3.04,109.5,GB1,2014
15,Stoke City,33,26.5,22,3.17,104.7,GB1,2014
16,West Bromwich Albion,33,27.2,24,2.75,90.8,GB1,2014
17,Norwich City,32,26.6,18,2.79,89.3,GB1,2014
18,Cardiff City,42,25.3,26,2.09,87.9,GB1,2014
19,Crystal Palace,45,26.6,24,1.53,68.7,GB1,2014
20,Hull City,34,27.2,23,2.0,68.15,GB1,2014
