Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Fulham FC,36,25.3,25,3.24,116.6,GB2,2020
2,Leeds United,35,23.9,19,2.88,100.75,GB2,2020
3,West Bromwich Albion,37,25.8,14,2.46,90.93,GB2,2020
4,Huddersfield Town,44,24.1,19,2.0,88.08,GB2,2020
5,Bristol City,43,25.6,26,1.93,82.95,GB2,2020
6,Stoke City,41,25.8,24,2.02,82.93,GB2,2020
7,Brentford FC,36,23.1,28,1.95,70.38,GB2,2020
8,Nottingham Forest,44,25.6,25,1.48,65.0,GB2,2020
9,Cardiff City,42,26.4,22,1.51,63.38,GB2,2020
10,Swansea City,39,24.2,23,1.59,62.1,GB2,2020
11,Middlesbrough FC,35,24.4,14,1.72,60.13,GB2,2020
12,Birmingham City,45,24.8,23,1.16,52.03,GB2,2020
13,Derby County,35,25.5,12,1.47,51.48,GB2,2020
14,Hull City,40,23.9,19,1.25,49.88,GB2,2020
15,Reading FC,47,24.0,27,0.993,46.68,GB2,2020
16,Queens Park Rangers,37,24.4,23,1.21,44.9,GB2,2020
17,Sheffield Wednesday,41,25.6,20,0.92,37.7,GB2,2020
18,Blackburn Rovers,37,24.8,13,0.885,32.75,GB2,2020
19,Preston North End,35,25.2,11,0.929,32.5,GB2,2020
20,Wigan Athletic,36,25.4,20,0.784,28.23,GB2,2020
21,Charlton Athletic,44,24.4,16,0.607,26.7,GB2,2020
22,Millwall FC,30,25.9,12,0.773,23.2,GB2,2020
23,Luton Town,35,26.1,14,0.579,20.25,GB2,2020
24,Barnsley FC,36,22.7,20,0.483,17.4,GB2,2020
