Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Barcelona,34,24.9,15,9.63,327.5,ES1,2006
2,Real Madrid,36,25.0,13,7.82,281.6,ES1,2006
3,Valencia CF,32,27.0,14,6.62,211.75,ES1,2006
4,Atlético de Madrid,31,23.8,8,4.33,134.15,ES1,2006
5,Deportivo de La Coruña,33,27.3,8,4.05,133.65,ES1,2006
6,Sevilla FC,34,25.5,10,2.85,96.85,ES1,2006
7,Real Betis Balompié,32,25.8,8,2.69,85.95,ES1,2006
8,Villarreal CF,32,25.4,13,2.56,82.0,ES1,2006
9,Real Zaragoza,25,27.2,7,2.66,66.55,ES1,2006
10,RCD Espanyol Barcelona,31,25.1,9,1.9,58.98,ES1,2006
11,Real Sociedad,31,25.4,7,1.74,53.83,ES1,2006
12,Celta de Vigo,27,26.3,13,1.79,48.3,ES1,2006
13,Athletic Bilbao,41,24.7,1,1.15,47.23,ES1,2006
14,RCD Mallorca,31,25.5,15,1.36,42.15,ES1,2006
15,CA Osasuna,25,26.0,7,1.63,40.7,ES1,2006
16,Getafe CF,26,27.0,6,1.4,36.38,ES1,2006
17,Deportivo Alavés,31,27.6,17,1.12,34.83,ES1,2006
18,Racing Santander,36,24.8,9,0.917,33.0,ES1,2006
19,Málaga CF,33,25.5,9,0.849,28.03,ES1,2006
20,Cádiz CF,28,28.3,13,0.791,22.15,ES1,2006
