Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Celta de Vigo,40,25.2,12,1.2,47.9,ES2,2008
2,Real Sociedad,32,24.8,6,1.28,40.8,ES2,2008
3,Málaga CF,30,26.8,8,1.02,30.5,ES2,2008
4,CD Numancia,28,27.1,3,0.982,27.5,ES2,2008
5,Sevilla Atlético,36,21.8,6,0.761,27.4,ES2,2008
6,Cádiz CF,34,27.5,13,0.804,27.33,ES2,2008
7,Deportivo Alavés,31,26.1,6,0.768,23.8,ES2,2008
8,Sporting Gijón,31,24.9,2,0.613,19.0,ES2,2008
9,Albacete Balompié,37,25.7,9,0.503,18.6,ES2,2008
10,Elche CF,34,25.9,10,0.535,18.2,ES2,2008
11,Xerez CD,29,27.2,4,0.607,17.6,ES2,2008
12,CD Tenerife,26,25.9,1,0.658,17.1,ES2,2008
13,Gimnàstic de Tarragona,31,27.2,6,0.545,16.9,ES2,2008
14,Hércules CF,36,27.4,7,0.469,16.9,ES2,2008
15,Granada 74 CF,33,26.8,4,0.467,15.4,ES2,2008
16,UD Salamanca,30,24.7,5,0.51,15.3,ES2,2008
17,Córdoba CF,26,28.6,4,0.573,14.9,ES2,2008
18,Polideportivo Ejido,30,26.4,4,0.468,14.05,ES2,2008
19,UD Las Palmas,34,25.8,6,0.409,13.9,ES2,2008
20,CD Castellón,27,26.3,4,0.481,13.0,ES2,2008
21,Racing Ferrol,33,25.3,13,0.382,12.6,ES2,2008
22,SD Eibar,25,27.1,2,0.476,11.9,ES2,2008
