Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam U21,24,18.9,9,0.67,16.08,NL2,2023
2,PEC Zwolle,34,24.1,10,0.325,11.05,NL2,2023
3,Willem II Tilburg,27,25.8,7,0.351,9.48,NL2,2023
4,Heracles Almelo,29,24.2,18,0.325,9.43,NL2,2023
5,ADO Den Haag,34,23.4,7,0.261,8.88,NL2,2023
6,NAC Breda,32,23.6,10,0.255,8.18,NL2,2023
7,Almere City FC,31,24.0,11,0.257,7.98,NL2,2023
8,FC Eindhoven,27,23.5,14,0.278,7.5,NL2,2023
9,Roda JC Kerkrade,25,23.7,9,0.289,7.23,NL2,2023
10,VVV-Venlo,28,22.7,7,0.258,7.23,NL2,2023
11,AZ Alkmaar U21,26,19.3,2,0.238,6.18,NL2,2023
12,TOP Oss,33,23.1,6,0.18,5.95,NL2,2023
13,Helmond Sport,28,23.4,14,0.208,5.83,NL2,2023
14,De Graafschap Doetinchem,29,23.7,6,0.191,5.55,NL2,2023
15,FC Dordrecht,30,23.0,12,0.175,5.25,NL2,2023
16,PSV Eindhoven U21,28,19.0,10,0.175,4.9,NL2,2023
17,FC Utrecht U21,28,19.6,5,0.171,4.78,NL2,2023
18,MVV Maastricht,25,22.4,9,0.187,4.68,NL2,2023
19,FC Den Bosch,24,23.3,8,0.192,4.6,NL2,2023
20,SC Telstar,26,24.3,4,0.162,4.2,NL2,2023
