Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Nantes,42,23.4,26,0.477,20.05,FR2,2011
2,Le Mans FC,34,23.3,19,0.588,20.0,FR2,2011
3,AC Le Havre,29,23.8,13,0.555,16.1,FR2,2011
4,LB Châteauroux,35,24.2,10,0.449,15.7,FR2,2011
5,CS Sedan-Ardennes,24,23.5,13,0.615,14.75,FR2,2011
6,Dijon FCO,29,24.3,10,0.5,14.5,FR2,2011
7,Tours FC,28,24.3,12,0.488,13.65,FR2,2011
8,Grenoble Foot 38,33,24.1,11,0.397,13.1,FR2,2011
9,FC Metz,37,24.3,23,0.347,12.85,FR2,2011
10,US Boulogne,29,25.9,11,0.434,12.6,FR2,2011
11,Nîmes Olympique,37,25.1,20,0.334,12.35,FR2,2011
12,Clermont Foot Auvergne 63,28,25.5,13,0.439,12.3,FR2,2011
13,AC Ajaccio,26,25.4,8,0.471,12.25,FR2,2011
14,ESTAC Troyes,31,24.7,10,0.394,12.2,FR2,2011
15,FC Évian Thonon Gaillard,28,26.7,11,0.421,11.8,FR2,2011
16,Vannes OC,40,25.2,8,0.261,10.45,FR2,2011
17,Angers SCO,29,26.6,7,0.348,10.1,FR2,2011
18,Stade Reims,30,24.7,10,0.323,9.7,FR2,2011
19,FC Istres Ouest Provence,27,25.5,12,0.335,9.05,FR2,2011
20,Stade Lavallois,31,25.5,6,0.282,8.75,FR2,2011
