VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SSC Napoli,27,26.0,17,21.77,587.75,IT1,2024
2,Inter Milan,25,28.4,16,22.53,563.35,IT1,2024
3,AC Milan,28,26.0,21,19.4,543.25,IT1,2024
4,Juventus FC,26,26.1,14,16.22,421.6,IT1,2024
5,AS Roma,26,26.8,17,13.93,362.15,IT1,2024
6,Atalanta BC,25,26.6,17,12.98,324.6,IT1,2024
7,SS Lazio,29,26.9,17,9.66,280.28,IT1,2024
8,ACF Fiorentina,31,24.7,16,8.23,255.15,IT1,2024
9,Torino FC,26,24.8,21,7.16,186.1,IT1,2024
10,Bologna FC 1909,26,24.8,18,6.4,166.45,IT1,2024
11,US Sassuolo,27,26.0,15,6.07,163.9,IT1,2024
12,Udinese Calcio,36,24.4,31,4.33,155.88,IT1,2024
13,Genoa CFC,27,26.4,20,3.99,107.75,IT1,2024
14,AC Monza,30,26.4,11,3.37,101.0,IT1,2024
15,US Salernitana 1919,27,26.6,21,3.7,99.9,IT1,2024
16,FC Empoli,29,25.4,12,3.09,89.5,IT1,2024
17,Hellas Verona,33,25.2,22,2.71,89.28,IT1,2024
18,US Lecce,31,23.5,23,2.63,81.53,IT1,2024
19,Cagliari Calcio,30,27.0,14,2.35,70.43,IT1,2024
20,Frosinone Calcio,30,24.8,17,2.09,62.55,IT1,2024
