Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Manchester City,36,25.4,24,13.85,498.6,GB1,2012
2,Manchester United,41,24.6,24,9.86,404.1,GB1,2012
3,Chelsea FC,32,26.7,21,11.73,375.5,GB1,2012
4,Arsenal FC,45,24.2,35,8.05,362.43,GB1,2012
5,Tottenham Hotspur,50,25.2,27,6.47,323.5,GB1,2012
6,Liverpool FC,31,25.6,18,7.64,236.9,GB1,2012
7,Everton FC,36,26.3,25,4.72,169.95,GB1,2012
8,Newcastle United,37,24.8,21,4.37,161.7,GB1,2012
9,Sunderland AFC,36,25.5,20,3.51,126.5,GB1,2012
10,Aston Villa,37,25.6,23,3.34,123.5,GB1,2012
11,Fulham FC,36,27.1,28,2.78,100.0,GB1,2012
12,Bolton Wanderers,38,25.9,19,2.37,90.05,GB1,2012
13,Stoke City,32,28.5,15,2.55,81.65,GB1,2012
14,Queens Park Rangers,48,27.6,25,1.7,81.38,GB1,2012
15,Blackburn Rovers,37,25.4,26,2.16,80.0,GB1,2012
16,Wolverhampton Wanderers,37,25.0,24,2.11,78.05,GB1,2012
17,Swansea City,34,25.5,21,2.22,75.6,GB1,2012
18,Wigan Athletic,30,26.2,22,2.48,74.25,GB1,2012
19,West Bromwich Albion,36,26.0,24,1.93,69.55,GB1,2012
20,Norwich City,29,25.5,12,2.03,58.75,GB1,2012
